,0,1,2
0,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL index VAL 533 ,0
1,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL index VAL 533 ,0
2,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL index VAL 533 ,0
3,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL ProviderNumber VAL 10023 ,0
4,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL ProviderNumber VAL 10023 ,0
5,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL ProviderNumber VAL 10023 ,0
6,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL HospitalName VAL baptist medical cexter south ,1
7,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL HospitalName VAL baptist medical center south ,0
8,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL HospitalName VAL baptist medical center south ,0
9,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL Address1 VAL 2105 east south boulevard ,0
10,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL Address1 VAL 2105 east south boulevard ,0
11,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL Address1 VAL 2105 east south boulevard ,0
12,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL Address2 VAL empty ,0
13,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL Address2 VAL empty ,0
14,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL Address2 VAL empty ,0
15,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL Address3 VAL empty ,0
16,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL Address3 VAL empty ,0
17,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL Address3 VAL empty ,0
18,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL City VAL montgomery ,0
19,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL City VAL montgomery ,0
20,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL City VAL montgomery ,0
21,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL State VAL al ,0
22,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL State VAL al ,0
23,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL State VAL al ,0
24,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL ZipCode VAL 36116 ,0
25,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL ZipCode VAL 36116 ,0
26,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL ZipCode VAL 36116 ,0
27,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical cexter south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hosxitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox COL Score VAL 92% COL Sample VAL 87 patientx COL Stateavg VAL al_pn-7 ,COL CountyName VAL montgomery ,0
28,COL index VAL 533 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-7 COL MeasureName VAL pneumonia patients assessed and given influenza vaccination COL Score VAL 92% COL Sample VAL 87 patients COL Stateavg VAL al_pn-7 ,COL CountyName VAL montgomery ,0
