,0,1,2
0,"COL article_title VAL Late repair of injuries of the anal sphincter COL article_language VAL eng COL journal_title VAL Proc R Soc Med COL jounral_abbreviation VAL Proceedings of the Royal Society of Medicine COL journal_issn VAL 0035-9157 (Print) 0035-9157 COL article_jvolumn VAL 64 COL article_jissue VAL 12 COL article_jcreated_at VAL 1/71/01 COL article_pagination VAL 1187-9 COL author_list VAL {""A. G. Parks"",""J. F. McPartlin""} ",COL article_jcreated_at VAL 1/71/01 ,1
1,"COL article_title VAL Ebola Virus GP Gene Polyadenylation Versus RNA Editing. COL article_language VAL ENG COL journal_title VAL The Journal of infectious diseases COL jounral_abbreviation VAL J. Infect. Dis. COL journal_issn VAL 1537-6613 COL article_jvolumn VAL -1 COL article_jissue VAL -1 COL article_jcreated_at VAL 2/15/04 COL article_pagination VAL  COL author_list VAL {""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""} ",COL article_jvolumn VAL -1 ,0
2,"COL article_title VAL Ebola Virus GP Gene Polyadenylation Versus RNA Editing. COL article_language VAL ENG COL journal_title VAL The Journal of infectious diseases COL jounral_abbreviation VAL J. Infect. Dis. COL journal_issn VAL 1537-6613 COL article_jvolumn VAL -1 COL article_jissue VAL -1 COL article_jcreated_at VAL 2/15/04 COL article_pagination VAL  COL author_list VAL {""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""} ",COL article_jissue VAL -1 ,0
3,"COL article_title VAL Ebola Virus GP Gene Polyadenylation Versus RNA Editing. COL article_language VAL ENG COL journal_title VAL The Journal of infectious diseases COL jounral_abbreviation VAL J. Infect. Dis. COL journal_issn VAL 1537-6613 COL article_jvolumn VAL -1 COL article_jissue VAL -1 COL article_jcreated_at VAL 2/15/04 COL article_pagination VAL  COL author_list VAL {""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""} ",COL article_jcreated_at VAL 2/15/04 ,0
4,"COL article_title VAL Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring. COL article_language VAL eng COL journal_title VAL Indian journal of ophthalmology COL jounral_abbreviation VAL Indian J Ophthalmol COL journal_issn VAL 0301-4738 COL article_jvolumn VAL 54 COL article_jissue VAL 4 COL article_jcreated_at VAL 1/6/12 COL article_pagination VAL 283-4 COL author_list VAL {""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""} ",COL article_jcreated_at VAL 1/6/12 ,0
5,"COL article_title VAL [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA] COL article_language VAL pol COL journal_title VAL  COL jounral_abbreviation VAL  COL journal_issn VAL  COL article_jvolumn VAL 84 COL article_jissue VAL 0 COL article_jcreated_at VAL 1/13/01 COL article_pagination VAL 714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]- COL author_list VAL {""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""} ",COL article_jcreated_at VAL 1/13/01 ,0
6,"COL article_title VAL Diagnosis and Management of Cutaneous B-cell Lymphoma. COL article_language VAL eng COL journal_title VAL Dermatologic clinics COL jounral_abbreviation VAL Dermatol Clin COL journal_issn VAL 1558-0520 COL article_jvolumn VAL 33 COL article_jissue VAL 4 COL article_jcreated_at VAL 1/15/10 COL article_pagination VAL 835-40 COL author_list VAL {""Lauren C Pinter-Brown""} ",COL article_jcreated_at VAL 1/15/10 ,0
7,"COL article_title VAL Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain COL article_language VAL eng COL journal_title VAL  COL jounral_abbreviation VAL  COL journal_issn VAL  COL article_jvolumn VAL 10 COL article_jissue VAL 4 COL article_jcreated_at VAL 1/9/01 COL article_pagination VAL 185-91 COL author_list VAL {""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""} ",COL article_jcreated_at VAL 1/9/01 ,0
8,"COL article_title VAL Activation and blockade of beta adrenoceptors in common cardiac disorders COL article_language VAL eng COL journal_title VAL Br Med Bull COL jounral_abbreviation VAL British medical bulletin COL journal_issn VAL 0007-1420 COL article_jvolumn VAL 29 COL article_jissue VAL 2 COL article_jcreated_at VAL 1/73/01 COL article_pagination VAL 163-7 COL author_list VAL {""B N Prichard"",""J W Black""} ",COL article_jcreated_at VAL 1/73/01 ,1
9,"COL article_title VAL Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury COL article_language VAL English; ABSTRACT LANGUAGE:English COL journal_title VAL American journal of respiratory and critical care medicine COL jounral_abbreviation VAL  COL journal_issn VAL  COL article_jvolumn VAL 164 COL article_jissue VAL 1 COL article_jcreated_at VAL 1/1/07 COL article_pagination VAL 43-49 COL author_list VAL {""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""} ",COL article_jcreated_at VAL 1/1/07 ,0
