,0,1,2
0,COL article_title VAL Late repair of injuries of the ánal sphincter ,COL article_title VAL Late repair of injuries of the ánal sphincter ,1
1,COL article_title VAL Late repair of injuries of the anal sphincter ,COL article_title VAL Late repair of injuries of the anal sphincter ,0
2,COL article_language VAL eng ,COL article_language VAL eng ,0
3,COL journal_title VAL P̃roc R Soc Med ,COL journal_title VAL P̃roc R Soc Med ,1
4,COL journal_title VAL Proc R Soc Med ,COL journal_title VAL Proc R Soc Med ,0
5,COL jounral_abbreviation VAL Proceedings of the Royal Society of Medicine ,COL jounral_abbreviation VAL Proceedings of the Royal Society of Medicine ,0
6,COL journal_issn VAL 0035-9157 (Print) 0035-9157 ,COL journal_issn VAL 0035-9157 (Print) 0035-9157 ,0
7,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
8,COL article_jvolumn VAL 64 ,COL article_jvolumn VAL 64 ,0
9,COL article_jissue VAL  ,COL article_jissue VAL  ,1
10,COL article_jissue VAL 12 ,COL article_jissue VAL 12 ,0
11,COL article_jcreated_at VAL 1/71/01 ,COL article_jcreated_at VAL 1/71/01 ,0
12,COL article_pagination VAL 1187-9 ,COL article_pagination VAL 1187-9 ,0
13,"COL author_list VAL {""A. G. ̄Parks"",""J. F. McPartlin""} ","COL author_list VAL {""A. G. ̄Parks"",""J. F. McPartlin""} ",1
14,"COL author_list VAL {""A. G. Parks"",""J. F. McPartlin""} ","COL author_list VAL {""A. G. Parks"",""J. F. McPartlin""} ",0
15,COL article_title VAL Ebola Virus GP Gene Polyadenylation Versus RNA ̃Editing. ,COL article_title VAL Ebola Virus GP Gene Polyadenylation Versus RNA ̃Editing. ,1
16,COL article_title VAL Ebola Virus GP Gene Polyadenylation Versus RNA Editing. ,COL article_title VAL Ebola Virus GP Gene Polyadenylation Versus RNA Editing. ,0
17,COL article_language VAL ENG ,COL article_language VAL ENG ,0
18,COL journal_title VAL The Journal of infectiõus diseases ,COL journal_title VAL The Journal of infectiõus diseases ,1
19,COL journal_title VAL The Journal of infectious diseases ,COL journal_title VAL The Journal of infectious diseases ,0
20,COL jounral_abbreviation VAL J. Infect. Dis. ,COL jounral_abbreviation VAL J. Infect. Dis. ,0
21,COL journal_issn VAL 1537-6613 ,COL journal_issn VAL 1537-6613 ,0
22,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
23,COL article_jissue VAL  ,COL article_jissue VAL  ,1
24,COL article_jcreated_at VAL 4/2/15 ,COL article_jcreated_at VAL 4/2/15 ,1
25,COL article_jcreated_at VAL 2/15/04 ,COL article_jcreated_at VAL 2/15/04 ,0
26,COL article_pagination VAL  ,COL article_pagination VAL  ,0
27,"COL author_list VAL {""Valentina A Volchkova"",""Jaroslav Vorac"",""Ph́ilip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""} ","COL author_list VAL {""Valentina A Volchkova"",""Jaroslav Vorac"",""Ph́ilip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""} ",1
28,"COL author_list VAL {""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""} ","COL author_list VAL {""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""} ",0
29,COL article_title VAL Duane retraction syndrome associated with ocul̀ocutaneous albinism: an ocular miswiring. ,COL article_title VAL Duane retraction syndrome associated with ocul̀ocutaneous albinism: an ocular miswiring. ,1
30,COL article_title VAL Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring. ,COL article_title VAL Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring. ,0
31,COL article_language VAL eng ,COL article_language VAL eng ,0
32,COL journal_title VAL Indian journal of op̂hthalmology ,COL journal_title VAL Indian journal of op̂hthalmology ,1
33,COL journal_title VAL Indian journal of ophthalmology ,COL journal_title VAL Indian journal of ophthalmology ,0
34,COL jounral_abbreviation VAL Indian J Ophthalmol ,COL jounral_abbreviation VAL Indian J Ophthalmol ,0
35,COL journal_issn VAL 0301-4738 ,COL journal_issn VAL 0301-4738 ,0
36,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
37,COL article_jvolumn VAL 54 ,COL article_jvolumn VAL 54 ,0
38,COL article_jissue VAL  ,COL article_jissue VAL  ,1
39,COL article_jissue VAL 4 ,COL article_jissue VAL 4 ,0
40,COL article_jcreated_at VAL 12/1/06 ,COL article_jcreated_at VAL 12/1/06 ,1
41,COL article_jcreated_at VAL 1/6/12 ,COL article_jcreated_at VAL 1/6/12 ,0
42,COL article_pagination VAL 283-4 ,COL article_pagination VAL 283-4 ,0
43,"COL author_list VAL {""Jitendra Jethani"",""Shashīkant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""} ","COL author_list VAL {""Jitendra Jethani"",""Shashīkant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""} ",1
44,"COL author_list VAL {""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""} ","COL author_list VAL {""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""} ",0
45,"COL article_title VAL [Nôninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA] ","COL article_title VAL [Nôninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA] ",1
46,"COL article_title VAL [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA] ","COL article_title VAL [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA] ",0
47,COL article_language VAL pol ,COL article_language VAL pol ,0
48,COL journal_title VAL ́ ,COL journal_title VAL ́ ,1
49,COL journal_title VAL  ,COL journal_title VAL  ,0
50,COL jounral_abbreviation VAL  ,COL jounral_abbreviation VAL  ,0
51,COL journal_issn VAL  ,COL journal_issn VAL  ,0
52,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
53,COL article_jvolumn VAL 84 ,COL article_jvolumn VAL 84 ,0
54,COL article_jissue VAL  ,COL article_jissue VAL  ,1
55,COL article_jissue VAL 0 ,COL article_jissue VAL 0 ,0
56,COL article_jcreated_at VAL 1/1/13 ,COL article_jcreated_at VAL 1/1/13 ,1
57,COL article_jcreated_at VAL 1/13/01 ,COL article_jcreated_at VAL 1/13/01 ,0
58,"COL article_pagination VAL 714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]- ","COL article_pagination VAL 714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]- ",0
59,"COL author_list VAL {""G. Jakiel""́,""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""} ","COL author_list VAL {""G. Jakiel""́,""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""} ",1
60,"COL author_list VAL {""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""} ","COL author_list VAL {""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""} ",0
61,COL article_title VAL Diagnosis and Management of Cutaneous B-cell Lymphomà. ,COL article_title VAL Diagnosis and Management of Cutaneous B-cell Lymphomà. ,1
62,COL article_title VAL Diagnosis and Management of Cutaneous B-cell Lymphoma. ,COL article_title VAL Diagnosis and Management of Cutaneous B-cell Lymphoma. ,0
63,COL article_language VAL eng ,COL article_language VAL eng ,0
64,COL journal_title VAL Derma�tologic clinics ,COL journal_title VAL Derma�tologic clinics ,1
65,COL journal_title VAL Dermatologic clinics ,COL journal_title VAL Dermatologic clinics ,0
66,COL jounral_abbreviation VAL Dermatol Clin ,COL jounral_abbreviation VAL Dermatol Clin ,0
67,COL journal_issn VAL 1558-0520 ,COL journal_issn VAL 1558-0520 ,0
68,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
69,COL article_jvolumn VAL 33 ,COL article_jvolumn VAL 33 ,0
70,COL article_jissue VAL  ,COL article_jissue VAL  ,1
71,COL article_jissue VAL 4 ,COL article_jissue VAL 4 ,0
72,COL article_jcreated_at VAL 10/1/15 ,COL article_jcreated_at VAL 10/1/15 ,1
73,COL article_jcreated_at VAL 1/15/10 ,COL article_jcreated_at VAL 1/15/10 ,0
74,COL article_pagination VAL 835-40 ,COL article_pagination VAL 835-40 ,0
75,"COL author_list VAL {""Lauren C ́Pinter-Brown""} ","COL author_list VAL {""Lauren C ́Pinter-Brown""} ",1
76,"COL author_list VAL {""Lauren C Pinter-Brown""} ","COL author_list VAL {""Lauren C Pinter-Brown""} ",0
77,"COL article_title VAL Pregabalin, celecoxib, and their combinatiôn for treatment of chronic low-back pain ","COL article_title VAL Pregabalin, celecoxib, and their combinatiôn for treatment of chronic low-back pain ",1
78,"COL article_title VAL Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain ","COL article_title VAL Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain ",0
79,COL article_language VAL eng ,COL article_language VAL eng ,0
80,COL journal_title VAL � ,COL journal_title VAL � ,1
81,COL journal_title VAL  ,COL journal_title VAL  ,0
82,COL jounral_abbreviation VAL  ,COL jounral_abbreviation VAL  ,0
83,COL journal_issn VAL  ,COL journal_issn VAL  ,0
84,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
85,COL article_jvolumn VAL 10 ,COL article_jvolumn VAL 10 ,0
86,COL article_jissue VAL  ,COL article_jissue VAL  ,1
87,COL article_jissue VAL 4 ,COL article_jissue VAL 4 ,0
88,COL article_jcreated_at VAL 1/1/09 ,COL article_jcreated_at VAL 1/1/09 ,1
89,COL article_jcreated_at VAL 1/9/01 ,COL article_jcreated_at VAL 1/9/01 ,0
90,COL article_pagination VAL 185-91 ,COL article_pagination VAL 185-91 ,0
91,"COL author_list VAL {""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Ŕomano""} ","COL author_list VAL {""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Ŕomano""} ",1
92,"COL author_list VAL {""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""} ","COL author_list VAL {""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""} ",0
93,COL article_title VAL Activation and blockade of beta adrenoceptors in common car̄diac disorders ,COL article_title VAL Activation and blockade of beta adrenoceptors in common car̄diac disorders ,1
94,COL article_title VAL Activation and blockade of beta adrenoceptors in common cardiac disorders ,COL article_title VAL Activation and blockade of beta adrenoceptors in common cardiac disorders ,0
95,COL article_language VAL eng ,COL article_language VAL eng ,0
96,COL journal_title VAL Br M̄ed Bull ,COL journal_title VAL Br M̄ed Bull ,1
97,COL journal_title VAL Br Med Bull ,COL journal_title VAL Br Med Bull ,0
98,COL jounral_abbreviation VAL British medical bulletin ,COL jounral_abbreviation VAL British medical bulletin ,0
99,COL journal_issn VAL 0007-1420 ,COL journal_issn VAL 0007-1420 ,0
100,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
101,COL article_jvolumn VAL 29 ,COL article_jvolumn VAL 29 ,0
102,COL article_jissue VAL  ,COL article_jissue VAL  ,1
103,COL article_jissue VAL 2 ,COL article_jissue VAL 2 ,0
104,COL article_jcreated_at VAL 1/73/01 ,COL article_jcreated_at VAL 1/73/01 ,0
105,COL article_pagination VAL 163-7 ,COL article_pagination VAL 163-7 ,0
106,"COL author_list VAL {""B N Prichard""�,""J W Black""} ","COL author_list VAL {""B N Prichard""�,""J W Black""} ",1
107,"COL author_list VAL {""B N Prichard"",""J W Black""} ","COL author_list VAL {""B N Prichard"",""J W Black""} ",0
108,COL article_title VAL Long-term effects of spontaneous breathing during ventilatory support in patients with̃ acute lung injury ,COL article_title VAL Long-term effects of spontaneous breathing during ventilatory support in patients with̃ acute lung injury ,1
109,COL article_title VAL Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury ,COL article_title VAL Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury ,0
110,COL article_language VAL English; ABSTRACT LANGUAGE:English ,COL article_language VAL English; ABSTRACT LANGUAGE:English ,0
111,COL journal_title VAL Amerîcan journal of respiratory and critical care medicine ,COL journal_title VAL Amerîcan journal of respiratory and critical care medicine ,1
112,COL journal_title VAL American journal of respiratory and critical care medicine ,COL journal_title VAL American journal of respiratory and critical care medicine ,0
113,COL jounral_abbreviation VAL  ,COL jounral_abbreviation VAL  ,0
114,COL journal_issn VAL  ,COL journal_issn VAL  ,0
115,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
116,COL article_jvolumn VAL 164 ,COL article_jvolumn VAL 164 ,0
117,COL article_jissue VAL  ,COL article_jissue VAL  ,1
118,COL article_jissue VAL 1 ,COL article_jissue VAL 1 ,0
119,COL article_jcreated_at VAL 7/1/01 ,COL article_jcreated_at VAL 7/1/01 ,1
120,COL article_jcreated_at VAL 1/1/07 ,COL article_jcreated_at VAL 1/1/07 ,0
121,COL article_pagination VAL 43-49 ,COL article_pagination VAL 43-49 ,0
122,"COL author_list VAL {""St��_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""} ","COL author_list VAL {""St��_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""} ",1
123,COL article_title VAL Awareness of deficíts and on-road driving performance ,COL article_title VAL Awareness of deficíts and on-road driving performance ,1
124,COL article_title VAL Awareness of deficits and on-road driving performance ,COL article_title VAL Awareness of deficits and on-road driving performance ,0
125,COL article_language VAL English ,COL article_language VAL English ,0
126,COL journal_title VAL Clinical Neuropsychologis̃t ,COL journal_title VAL Clinical Neuropsychologis̃t ,1
127,COL journal_title VAL Clinical Neuropsychologist ,COL journal_title VAL Clinical Neuropsychologist ,0
128,COL jounral_abbreviation VAL  ,COL jounral_abbreviation VAL  ,0
129,COL journal_issn VAL 1385-4046 ,COL journal_issn VAL 1385-4046 ,0
130,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
131,COL article_jvolumn VAL 25 ,COL article_jvolumn VAL 25 ,0
132,COL article_jissue VAL  ,COL article_jissue VAL  ,1
133,COL article_jissue VAL 7 ,COL article_jissue VAL 7 ,0
134,COL article_jcreated_at VAL 1/1/11 ,COL article_jcreated_at VAL 1/1/11 ,1
135,COL article_jcreated_at VAL 1/11/01 ,COL article_jcreated_at VAL 1/11/01 ,0
136,COL article_pagination VAL 1158-78 ,COL article_pagination VAL 1158-78 ,0
137,"COL author_list VAL {""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Br̂yer""} ","COL author_list VAL {""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Br̂yer""} ",1
138,"COL author_list VAL {""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""} ","COL author_list VAL {""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""} ",0
139,COL article_title VAL A comparative evaluation of two head and neck immobilization devices using electronic portãl imaging ,COL article_title VAL A comparative evaluation of two head and neck immobilization devices using electronic portãl imaging ,1
140,COL article_title VAL A comparative evaluation of two head and neck immobilization devices using electronic portal imaging ,COL article_title VAL A comparative evaluation of two head and neck immobilization devices using electronic portal imaging ,0
141,COL article_language VAL  ,COL article_language VAL  ,0
142,COL journal_title VAL The Britîsh journal of radiology ,COL journal_title VAL The Britîsh journal of radiology ,1
143,COL journal_title VAL The British journal of radiology ,COL journal_title VAL The British journal of radiology ,0
144,COL jounral_abbreviation VAL  ,COL jounral_abbreviation VAL  ,0
145,COL journal_issn VAL  ,COL journal_issn VAL  ,0
146,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
147,COL article_jvolumn VAL 79 ,COL article_jvolumn VAL 79 ,0
148,COL article_jissue VAL  ,COL article_jissue VAL  ,1
149,COL article_jissue VAL 938 ,COL article_jissue VAL 938 ,0
150,COL article_jcreated_at VAL 1/1/06 ,COL article_jcreated_at VAL 1/1/06 ,1
151,COL article_jcreated_at VAL 1/6/01 ,COL article_jcreated_at VAL 1/6/01 ,0
152,COL article_pagination VAL 158-61 ,COL article_pagination VAL 158-61 ,0
153,"COL author_list VAL {""K. Fleming"",""K. Donato"",́""K. Leszczynski""} ","COL author_list VAL {""K. Fleming"",""K. Donato"",́""K. Leszczynski""} ",1
154,"COL author_list VAL {""K. Fleming"",""K. Donato"",""K. Leszczynski""} ","COL author_list VAL {""K. Fleming"",""K. Donato"",""K. Leszczynski""} ",0
155,COL article_title VAL Disparitie�s in childhood asthma hospitalizations: A spatial analysis of contextual effects ,COL article_title VAL Disparitie�s in childhood asthma hospitalizations: A spatial analysis of contextual effects ,1
156,COL article_title VAL Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects ,COL article_title VAL Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects ,0
157,COL article_language VAL  ,COL article_language VAL  ,0
158,COL journal_title VAL Trans�portation Research Part D-Transport and Environment ,COL journal_title VAL Trans�portation Research Part D-Transport and Environment ,1
159,COL journal_title VAL Transportation Research Part D-Transport and Environment ,COL journal_title VAL Transportation Research Part D-Transport and Environment ,0
160,COL jounral_abbreviation VAL  ,COL jounral_abbreviation VAL  ,0
161,COL journal_issn VAL 1361-9209 ,COL journal_issn VAL 1361-9209 ,0
162,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
163,COL article_jvolumn VAL 14 ,COL article_jvolumn VAL 14 ,0
164,COL article_jissue VAL  ,COL article_jissue VAL  ,1
165,COL article_jissue VAL 5 ,COL article_jissue VAL 5 ,0
166,COL article_jcreated_at VAL 1/1/09 ,COL article_jcreated_at VAL 1/1/09 ,1
167,COL article_jcreated_at VAL 1/9/01 ,COL article_jcreated_at VAL 1/9/01 ,0
168,COL article_pagination VAL 317-325 ,COL article_pagination VAL 317-325 ,0
169,"COL author_list VAL {""J. L. L̀i"",""P. Newcomb""} ","COL author_list VAL {""J. L. L̀i"",""P. Newcomb""} ",1
170,"COL author_list VAL {""J. L. Li"",""P. Newcomb""} ","COL author_list VAL {""J. L. Li"",""P. Newcomb""} ",0
171,COL article_title VAL Local anaesthetic wound infi�ltration used for caesarean section pain relief: a     meta-analysis ,COL article_title VAL Local anaesthetic wound infi�ltration used for caesarean section pain relief: a     meta-analysis ,1
172,COL article_title VAL Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis ,COL article_title VAL Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis ,0
173,COL article_language VAL English ,COL article_language VAL English ,0
174,COL journal_title VAL International journal of clinical and experiment̄al medicine ,COL journal_title VAL International journal of clinical and experiment̄al medicine ,1
175,COL journal_title VAL International journal of clinical and experimental medicine ,COL journal_title VAL International journal of clinical and experimental medicine ,0
176,COL jounral_abbreviation VAL Int J Clin Exp Med ,COL jounral_abbreviation VAL Int J Clin Exp Med ,0
177,COL journal_issn VAL 1940-5901 ,COL journal_issn VAL 1940-5901 ,0
178,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
179,COL article_jvolumn VAL 8 ,COL article_jvolumn VAL 8 ,0
180,COL article_jissue VAL  ,COL article_jissue VAL  ,1
181,COL article_jissue VAL 6 ,COL article_jissue VAL 6 ,0
182,COL article_jcreated_at VAL 1/1/15 ,COL article_jcreated_at VAL 1/1/15 ,1
183,COL article_jcreated_at VAL 1/15/01 ,COL article_jcreated_at VAL 1/15/01 ,0
184,COL article_pagination VAL 10213-10224 ,COL article_pagination VAL 10213-10224 ,0
