,id,title,category,brand,modelno,price,query,category_predict,brand_predict
46,46,sheaffer 93129 - gift collection 300 series ballpoint pen and pencil set black barrel,,,,,{'title': 'sheaffer 93129 - gift collection 300 series ballpoint pen and pencil set black barrel'},"['darkroom supplies', 'battery chargers', 'distribution', 'graphics tablets', 'laminating supplies']","['staedtler', 'navarre', 'hon', 'sheaffer', 'esselte']"
47,47,scosche loc80 2-channel adjustable lineout converter,,scosche,loc80,,"{'title': 'scosche loc80 2-channel adjustable lineout converter', 'brand': 'scosche', 'modelno': 'loc80'}","['amplifier installation', 'dash mounting kits', 'wiring harnesses', 'crossover parts', 'interior accessories']","['scosche', 'cooper wiring devices', 'parts express', 'channel sources', 'micro sata cables']"
79,79,clear front back body protector shield guard with cleaning cloth for apple iphone 4 4g 16gb 32gb 4th generation,screen protector foils,ccm,81906-a,0.75,"{'title': 'clear front back body protector shield guard with cleaning cloth for apple iphone 4 4g 16gb 32gb 4th generation', 'category': 'screen protector foils', 'brand': 'ccm', 'modelno': '81906-a', 'price': 0.75}","['cloths', 'screen protectors', 'covers skins', 'screen protector foils', 'coin button cell']","['3m', 'defender', 'guardsman', 'clearmax', 'ccm']"
81,81,pyle plmrw65 6.5-inch 200 watt two-way white wake board speakers,coaxial speakers,pyle,plmrw65,94.34,"{'title': 'pyle plmrw65 6.5-inch 200 watt two-way white wake board speakers', 'category': 'coaxial speakers', 'brand': 'pyle', 'modelno': 'plmrw65', 'price': 94.34}","['speakers', 'subwoofers', 'boat electronics', 'shortwave', 'coaxial speakers']","['kenwood', 'pyle', 'soundstorm', 'sound around', 'terk']"
87,87,msi radeon hd 5450 1024 mb ddr3 pci-express 2.0 graphics card md1g,,msi,r5450-md1g,83.56,"{'title': 'msi radeon hd 5450 1024 mb ddr3 pci-express 2.0 graphics card md1g', 'brand': 'msi', 'modelno': 'r5450-md1g', 'price': 83.56}","['video capture cards', 'hardware', 'graphics cards', 'desktops', 'computers accessories']","['msi', 'xfx', 'diamond', 'ati', 'diamond multimedia']"
93,93,brother tn-115c high yield cyan toner cartridge compatible with brother hl-4040cn hl-4070cdw series,laser printer toner,brother,tn-115c,89.45,"{'title': 'brother tn-115c high yield cyan toner cartridge compatible with brother hl-4040cn hl-4070cdw series', 'category': 'laser printer toner', 'brand': 'brother', 'modelno': 'tn-115c', 'price': 89.45}","['computer accessories', 'data cartridges', 'printer ink toner', 'inkjet printer ink', 'laser printer toner']","['unknown', 'brother', 'ocinkjet', 'compatible', 'oki data']"
133,133,itec t3100 blackberry r car charger,accessories supplies,i-tec,t3100,11.93,"{'title': 'itec t3100 blackberry r car charger', 'category': 'accessories supplies', 'brand': 'i-tec', 'modelno': 't3100', 'price': 11.93}","['audio video accessories', 'car electronics', 'car audio video', 'car electronics accessories', 'accessories supplies']","['itw', 'tektronix', 'atdec', 'i-tec', 'pro tec']"
140,140,hi-capacity dell t6845 equivalent main battery,batteries,battery-biz,b-8664-az222363,44.99,"{'title': 'hi-capacity dell t6845 equivalent main battery', 'category': 'batteries', 'brand': 'battery-biz', 'modelno': 'b-8664-az222363', 'price': 44.99}","['camcorder batteries', 'ac adapters', 'chargers adapters', 'batteries accessories', 'batteries']","['hi-capacity', 'battery-biz', 'duracell', 'portacell', 'dekcell']"
146,146,ex caplaptop batt dell latd420,,duracell,b-5909h,119.99,"{'title': 'ex caplaptop batt dell latd420', 'brand': 'duracell', 'modelno': 'b-5909h', 'price': 119.99}","['batteries', 'batteries accessories', 'chargers adapters', 'household batteries', 'camcorder batteries']","['dell', 'aiptek', 'portacell', 'duracell', 'battery-biz']"
165,165,trendnet 150 mbps mini wireless n usb 2.0 adapter tew-648ub black,,trendnet,tew-648ub,26.99,"{'title': 'trendnet 150 mbps mini wireless n usb 2.0 adapter tew-648ub black', 'brand': 'trendnet', 'modelno': 'tew-648ub', 'price': 26.99}","['network cards', 'computer cable adapters', 'usb network adapters', 'laptop network adapters', 'network adapters']","['tp link', 'trendware', 'trendnet', 'tp-link', 'wireless extenders']"
170,170,targus chill hub xc for laptops 13.3 inches to 17 inches awe01us2 black,computers accessories,targus,awe01us2,36.61,"{'title': 'targus chill hub xc for laptops 13.3 inches to 17 inches awe01us2 black', 'category': 'computers accessories', 'brand': 'targus', 'modelno': 'awe01us2', 'price': 36.61}","['chargers adapters', 'cleaning repair', 'cooling pads', 'accessories supplies', 'computers accessories']","['targus', 'antec', 'thermaltake', 'sabrent', 'vantec thermal technologies']"
173,173,sony fdame1am magnifying eyepiece black,lens accessories,sony,fdame1am,29.95,"{'title': 'sony fdame1am magnifying eyepiece black', 'category': 'lens accessories', 'brand': 'sony', 'modelno': 'fdame1am', 'price': 29.95}","['adapters', 'lens cleaners', 'lens accessories', 'telescopes', 'accessories']","['unknown', 'fotodiox', 'eye-fi', 'cosmos', 'sony']"
175,175,scosche mda-kb 1988 and up gm micro delco antenna adapter kit,antennas,scosche,mda-kb,15.26,"{'title': 'scosche mda-kb 1988 and up gm micro delco antenna adapter kit', 'category': 'antennas', 'brand': 'scosche', 'modelno': 'mda-kb', 'price': 15.26}","['radio antennas', 'f-pin-coaxial tip', 'car electronics', 'antennas', 'audio-video kits']","['audiovox', 'rca', 'unknown', 'domke', 'scosche']"
190,190,optional lower input tray for kx-mc6020 6040,fax machines,panasonic,kx-fap317,202.32,"{'title': 'optional lower input tray for kx-mc6020 6040', 'category': 'fax machines', 'brand': 'panasonic', 'modelno': 'kx-fap317', 'price': 202.32}","['printer ink toner', 'typewriters', 'fax machines', 'telephone accessories', 'computer accessories']","['kinamax', 'oki', 'panasonic', 'keytronicems', 'oki data']"
204,204,chief mwrub flat panel swing arm wall mount for 30-55-inch displays,mounts,chief,mwrub,278.35,"{'title': 'chief mwrub flat panel swing arm wall mount for 30-55-inch displays', 'category': 'mounts', 'brand': 'chief', 'modelno': 'mwrub', 'price': 278.35}","['tv mounts', 'selector boxes', 'mounts', 'vehicle mounts', 'computer monitor mounts']","['middle atlantic', 'premier mounts', 'chief', 'balt', 'bush']"
208,208,hp 901xl cc654an remanufactured high capacity black ink cartridge,inkjet printer ink,compatible,,8.22,"{'title': 'hp 901xl cc654an remanufactured high capacity black ink cartridge', 'category': 'inkjet printer ink', 'brand': 'compatible', 'price': 8.22}","['inkjet printer ink', 'batteries', 'printer ink toner', 'laser printer toner', 'household batteries']","['compatible', 'hp', 'unknown', 'ocinkjet', 'remanufactured cartridge']"
228,228,pendaflex 10031 - i-organize clipboard holds form 8-1 2 x 11 clear,blank media,pendaflex,,,"{'title': 'pendaflex 10031 - i-organize clipboard holds form 8-1 2 x 11 clear', 'category': 'blank media', 'brand': 'pendaflex'}","['hard drive bags', 'blank media', 'packing tape', 'continuous-form labels', 'media storage organization']","['rubbermaid', 'avery', 'rolodex', 'pendaflex', 'velcro']"
231,231,avery 47993 - two-pocket portfolio embossed paper 30-sheet capacity assorted colors 25 bx,printers,avery,,,"{'title': 'avery 47993 - two-pocket portfolio embossed paper 30-sheet capacity assorted colors 25 bx', 'category': 'printers', 'brand': 'avery'}","['copiers', 'portfolios', 'card stock', 'copy multipurpose paper', 'business paper products']","['swingline', 'avery', 'stanley', 'avery dennison', 'sanford']"
236,236,new-c9152a maintenance kit case pack 1 - 515225,computer accessories,hp,,1402.9,"{'title': 'new-c9152a maintenance kit case pack 1 - 515225', 'category': 'computer accessories', 'brand': 'hp', 'price': 1402.9}","['external floppy drives', 'cleaning repair', 'printer accessories', 'computer accessories', 'printer ink toner']","['hewlett packard office', 'pitney bowes', 'hp', 'corel', 'infoprint solutions']"
264,264,new-axis gk-013 107-key ps 2 keyboard black - cp76006,keyboards,axis,,11.51,"{'title': 'new-axis gk-013 107-key ps 2 keyboard black - cp76006', 'category': 'keyboards', 'brand': 'axis', 'price': 11.51}","['keyboards', 'controllers', 'camera photo', 'connectors adapters', 'computer accessories']","['solidtek', 'axis', 'axis communications', 'saitek', 'keytronicems']"
266,266,ipad 2 red tpu case,audio video accessories,arclyte technologies inc. .,,14.66,"{'title': 'ipad 2 red tpu case', 'category': 'audio video accessories', 'brand': 'arclyte technologies inc. .', 'price': 14.66}","['car audio video', 'touch screen tablet accessories', 'faceplates', 'amps', 'audio video accessories']","['arclyte technologies inc. .', 'amp', 'justmobile', 'road ready', 'arclyte technologies inc.']"
280,280,new-domtar 85311 - colorprint premium paper 98 brightness 28lb 11 x 17 white 500 sheets ream - dmr85311,storage presentation materials,domtar,,45.89,"{'title': 'new-domtar 85311 - colorprint premium paper 98 brightness 28lb 11 x 17 white 500 sheets ream - dmr85311', 'category': 'storage presentation materials', 'brand': 'domtar', 'price': 45.89}","['roll paper', 'copy multipurpose paper', 'copiers', 'paper', 'storage presentation materials']","['trodat', 'ncr', 'ddi', 'domtar', 'domke']"
292,292,new-smead 10565 - acid-free poly folder two fasteners 1 3 cut top tab legal manila 24 box - smd10565,laminating supplies,smead,,76.0,"{'title': 'new-smead 10565 - acid-free poly folder two fasteners 1 3 cut top tab legal manila 24 box - smd10565', 'category': 'laminating supplies', 'brand': 'smead', 'price': 76.0}","['changers', 'floor sensors', 'laminating supplies', 'laminators', 'storage presentation materials']","['hon', 'ampad', 'redi-tag', 'smead', 'smead manufacturing company']"
318,318,new-super sticky large format notes 8x6 four colors case pack 1 - 447752,storage presentation materials,post-it,,32.99,"{'title': 'new-super sticky large format notes 8x6 four colors case pack 1 - 447752', 'category': 'storage presentation materials', 'brand': 'post-it', 'price': 32.99}","['storage presentation materials', 'floppy diskettes', 'self-stick notes', 'postcards', 'paper']","['ampad', 'oxford', 'post-it', 'avery', '3m']"
355,355,boss bv9993 in-dash dvd mp3 cd am fm receiver,dvd players,boss,bv9993,190.4,"{'title': 'boss bv9993 in-dash dvd mp3 cd am fm receiver', 'category': 'dvd players', 'brand': 'boss', 'modelno': 'bv9993', 'price': 190.4}","['dvd players', 'internal dvd drives', 'dvd drives', 'portable dvd players', 'dvd recorders']","['action', 'boss', 'alco electronics', 'sharp', 'magnavox']"
