,id,title,category,brand,modelno,price,query,category_predict,brand_predict
1849,1979,iomega 1tb ego desktop usb 2.0 portable hard drive - midnight blue,hard drives,iomega,34837,89.98,"{'title': 'iomega 1tb ego desktop usb 2.0 portable hard drive - midnight blue', 'category': 'hard drives', 'brand': 'iomega', 'modelno': '34837', 'price': 89.98}","['memory', 'hard drives', 'networking', 'usb drives', 'computers']","['iomega', 'ep memory', 'i/omagic corporation', 'seagate', 'iogear']"
781,811,aleratec inc cd dvd shredder,stationery & office machinery,aleratec,,61.88,"{'title': 'aleratec inc cd dvd shredder', 'category': 'stationery & office machinery', 'brand': 'aleratec', 'price': 61.88}","['computers', 'printers', 'stationery & office machinery', 'electronics - general', 'furniture']","['alera', 'aleratec', 'generic', 'zotac', 'post-it']"
665,686,solidtek kb-7091bu usb washable keyboard,electronics - general,solidtek,kb-7091bu,50.84,"{'title': 'solidtek kb-7091bu usb washable keyboard', 'category': 'electronics - general', 'brand': 'solidtek', 'modelno': 'kb-7091bu', 'price': 50.84}","['computers', 'hard drives', 'desktop computers', 'electronics - general', 'automotive - general']","['plustek', 'solidtek', 'thermaltake', 'keyspan', 'visiontek']"
2371,2504,da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format,electronics - general,da-lite,27655,1752.99,"{'title': 'da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format', 'category': 'electronics - general', 'brand': 'da-lite', 'modelno': '27655', 'price': 1752.99}","['automotive - general', 'memory', 'photography - general', 'computers', 'electronics - general']","['case logic', 'roocase', 'draper', 'da-lite', 'endust']"
1456,1522,hp q1413a universal heavyweight coated paper,stationery & office machinery,hp,q1413a,58.78,"{'title': 'hp q1413a universal heavyweight coated paper', 'category': 'stationery & office machinery', 'brand': 'hp', 'modelno': 'q1413a', 'price': 58.78}","['computers', 'printers', 'monitors', 'stationery & office machinery', 'desktop computers']","['ibm', 'hp', 'sharpie', 'pny', 'lexmark']"
177,179,compucessory compucessory foldable noise canceling headphones black,electronics - general,compucessory,ccs59224,52.99,"{'title': 'compucessory compucessory foldable noise canceling headphones black', 'category': 'electronics - general', 'brand': 'compucessory', 'modelno': 'ccs59224', 'price': 52.99}","['personal care', 'mp3 accessories', 'memory', 'computers', 'electronics - general']","['neatreceipts', 'compaq', 'cp tech', 'compucessory', 'nuance']"
247,249,solidtek keyboard with touch pad black,electronics - general,solidtek,kb7070bu,59.99,"{'title': 'solidtek keyboard with touch pad black', 'category': 'electronics - general', 'brand': 'solidtek', 'modelno': 'kb7070bu', 'price': 59.99}","['computers', 'hard drives', 'electronics - general', 'desktop computers', 'automotive - general']","['thermaltake', 'keyspan', 'plustek', 'solidtek', 'visiontek']"
943,981,draper m2500 signature series v electric screen - av format 72 x 96,electronics - general,draper,100348,3139.95,"{'title': 'draper m2500 signature series v electric screen - av format 72 x 96', 'category': 'electronics - general', 'brand': 'draper', 'modelno': '100348', 'price': 3139.95}","['computers', 'automotive - general', 'printers', 'monitors', 'electronics - general']","['ibm', 'generic', 'da-lite', 'victor', 'draper']"
353,357,actiontec modem for verizon dsl,electronics - general,actiontec,gt701c,65.84,"{'title': 'actiontec modem for verizon dsl', 'category': 'electronics - general', 'brand': 'actiontec', 'modelno': 'gt701c', 'price': 65.84}","['networking', 'electronics - general', 'computers', 'laptop computers', 'mice']","['actiontec', 'syba multimedia', 'vantec', 'wintec', 'visiontek']"
1793,1921,balt fold-n-stow workstation teak silver,furniture,,89904,164.94,"{'title': 'balt fold-n-stow workstation teak silver', 'category': 'furniture', 'modelno': '89904', 'price': 164.94}","['memory', 'automotive - general', 'rugs', 'electronics - general', 'furniture']","['balt', 'aleratec', 'topics ent', 'svat electronics', 'sabrent']"
