,id,title,category,brand,modelno,price,query,category_predict,brand_predict
2037,2167,lifeworks netbook cooling pad mouse kit ihb931nr,computers,lifeworks,ihb931nr,49.88,"{'title': 'lifeworks netbook cooling pad mouse kit ihb931nr', 'category': 'computers', 'brand': 'lifeworks', 'modelno': 'ihb931nr', 'price': 49.88}","['software', 'television', 'toys - learning systems', 'computers', 'laptop computers']","['ihome', 'microsoft', 'franklin', 'lifeworks', 'coby']"
158,159,powermat wireless charging receiver for blackberry torch,phone accessories,powermat,prl01-001-us,23.88,"{'title': 'powermat wireless charging receiver for blackberry torch', 'category': 'phone accessories', 'brand': 'powermat', 'modelno': 'prl01-001-us', 'price': 23.88}","['phones', 'prepaid wireless phones', 'phone accessories', 'post-paid cellphones', 'electronics - general']","['blackberry', 'powermat', 'cyberpower', 'penpower', 'power mate']"
1044,1085,rubbermaid commercial 48-72 quick-connect ergo adjustable handle,,rubbermaid commercial,q760,15.97,"{'title': 'rubbermaid commercial 48-72 quick-connect ergo adjustable handle', 'brand': 'rubbermaid commercial', 'modelno': 'q760', 'price': 15.97}","['house wares', 'storage', 'home care', 'hand tools', 'soi items - grocery hba pets']","['buddy products', 'rubbermaid commercial', 'grip', 'hon', 'rubbermaid']"
2106,2236,roocase executive portfolio leather case w 2 screen protector for blackberry playbook,electronics - general,roocase,220761,35.99,"{'title': 'roocase executive portfolio leather case w 2 screen protector for blackberry playbook', 'category': 'electronics - general', 'brand': 'roocase', 'modelno': '220761', 'price': 35.99}","['networking', 'memory', 'computers', 'mice', 'electronics - general']","['royal', 'elite screens', 'roocase', 'rayovac', 'razer']"
688,711,premiertek powerlink wireless 802.11 b g n high power usb 2.0 adapter,networking,premiertek,pt-h9dn,31.88,"{'title': 'premiertek powerlink wireless 802.11 b g n high power usb 2.0 adapter', 'category': 'networking', 'brand': 'premiertek', 'modelno': 'pt-h9dn', 'price': 31.88}","['laptop computers', 'prepaid wireless phones', 'computers', 'electronics - general', 'networking']","['premiertek', 'power mate', 'cyberpower', 'mainstays', 'connectpro']"
1662,1775,just wireless moto micro usb car charger with usb port,electronics - general,just wireless,03158,0.0,"{'title': 'just wireless moto micro usb car charger with usb port', 'category': 'electronics - general', 'brand': 'just wireless', 'modelno': '03158', 'price': 0.0}","['prepaid wireless phones', 'mice', 'networking', 'computers', 'electronics - general']","['just wireless', 'wireless gear', 'macsense', 'syba multimedia', 'generic']"
1181,1231,vizio 42 class lcd 1080p 120hz hdtv e421vl,electronics : flat panel tv,vizio,e421vl,548.0,"{'title': 'vizio 42 class lcd 1080p 120hz hdtv e421vl', 'category': 'electronics : flat panel tv', 'brand': 'vizio', 'modelno': 'e421vl', 'price': 548.0}","['electronics : flat panel tv', 'tv accessories', 'satellite radio', 'television', 'home theater']","['kenwood', 'magnavox', 'lg', 'vizio', 'audiovox']"
391,400,draper m1300 signature series v electric screen - ntsc 200 diagonal,,draper,100459,4115.5,"{'title': 'draper m1300 signature series v electric screen - ntsc 200 diagonal', 'brand': 'draper', 'modelno': '100459', 'price': 4115.5}","['electronics - general', 'computers', 'automotive - general', 'printers', 'photography - general']","['roocase', 'draper', 'da-lite', 'general electric', 'evga']"
1039,1080,coby personal mini stereo speaker system csp14,portable audio,coby,csp14,14.0,"{'title': 'coby personal mini stereo speaker system csp14', 'category': 'portable audio', 'brand': 'coby', 'modelno': 'csp14', 'price': 14.0}","['dvd players', 'toys - learning systems', 'portable audio', 'car stereos', 'mp3']","['genius', 'simplism', 'topics ent', 'coby', 'pyle']"
768,797,arkon cmp114 camera mount for windshield,dvd accessories,arkon,cmp114,10.98,"{'title': 'arkon cmp114 camera mount for windshield', 'category': 'dvd accessories', 'brand': 'arkon', 'modelno': 'cmp114', 'price': 10.98}","['tv accessories', 'mp3 accessories', 'car stereos', 'dvd players', 'dvd accessories']","['bracketron', 'griffin', 'arkon', 'kroo', 'omnimount']"
