,ltable_id,rtable_id,label
1,1275,1032,1
4,636,2153,1
23,1108,964,1
28,799,2592,1
29,597,369,1
30,1251,533,1
31,1014,2835,1
32,907,2560,1
42,376,2638,1
45,548,2302,1
54,455,2564,1
62,124,2845,1
68,1064,2057,1
69,839,2607,1
70,516,893,1
71,1287,1035,1
77,1024,2936,1
103,525,237,1
111,276,2996,1
122,636,277,1
125,779,2573,1
147,557,2112,1
158,903,989,1
161,917,163,1
165,892,800,1
166,556,3016,1
175,1170,2156,1
188,1114,1420,1
192,271,1512,1
203,1117,1431,1
208,831,2767,1
229,532,2516,1
235,1081,980,1
239,1024,2421,1
265,738,433,1
268,1038,2339,1
283,605,998,1
306,628,276,1
311,1190,2468,1
321,838,2714,1
324,1264,2273,1
326,1275,2338,1
331,967,2131,1
335,1031,763,1
351,727,439,1
355,574,3029,1
364,1044,2347,1
365,40,2050,1
369,1336,625,1
425,1264,2752,1
440,876,2473,1
442,1212,548,1
443,798,1690,1
446,348,1585,1
473,1076,2093,1
478,753,1497,1
479,1337,651,1
483,1353,621,1
489,819,2830,1
498,583,149,1
511,523,239,1
514,180,1542,1
524,892,2791,1
527,828,2759,1
528,810,2586,1
550,851,2920,1
568,1105,2009,1
606,1018,771,1
608,1199,580,1
647,642,2839,1
686,396,2470,1
704,642,352,1
713,457,2622,1
727,508,168,1
733,513,2055,1
738,1171,905,1
755,588,558,1
767,1069,2049,1
788,88,1612,1
796,961,9,1
820,441,2163,1
827,579,2532,1
848,981,845,1
882,793,2570,1
901,1101,1368,1
934,1228,500,1
964,1186,566,1
988,1177,1496,1
997,883,921,1
1084,1275,2420,1
1110,364,2395,1
1176,808,535,1
1312,1282,2377,1
1323,216,485,1
1677,741,358,1
1965,570,2861,1
2012,1158,912,1
2221,1085,985,1
2603,267,2503,1
2733,372,2827,1
