,ltable_id,rtable_id,label,l_entity,r_entity
0,124,2945,0,"{'title': 'tlc dr. seuss reading learning system 2008', 'manufacturer': 'encore', 'price': 19.99, 'category': 'Education', 'subcategory': 'Language Learning', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': 'RSLS-008'}","{'title': ""blue 's clues preschool"", 'manufacturer': '', 'price': 7.95, 'category': 'Educational', 'subcategory': 'Preschool', 'platform': 'DVD', 'edition': 'Standard', 'type': 'Video', 'modelno': 'BDMM-3456'}"
1,1275,1032,1,"{'title': 'punch ! super home suite', 'manufacturer': 'punch ! software', 'price': 49.99, 'category': 'Software', 'subcategory': 'Design & Architecture', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Suite', 'modelno': '17100'}","{'title': 'punch software 38100 punch ! super home suite complete product architectural 1 user complete productcomplete productstandard english pc', 'manufacturer': '', 'price': 45.97, 'category': 'Home Design', 'subcategory': 'Super Home Suite', 'platform': 'Windows', 'edition': 'Complete Product', 'type': 'Software', 'modelno': '38100'}"
2,1085,3113,0,"{'title': 'burning monkey solitaire 4.0', 'manufacturer': 'freeverse software', 'price': 24.95, 'category': 'Games', 'subcategory': 'Card Games', 'platform': 'Mac', 'edition': 'Standard', 'type': 'Software', 'modelno': '7001'}","{'title': 'math missions : the race to spectacle city arcade ( grades k-2 )', 'manufacturer': '', 'price': 8.49, 'category': 'Education', 'subcategory': 'Mathematics', 'platform': 'Arcade', 'edition': 'Grades K-2', 'type': 'Game', 'modelno': 'Math Missions: The Race to Spectacle City Arcade'}"
3,326,548,0,"{'title': 'math missions : the race to spectacle city arcade ( grades k-2 )', 'manufacturer': 'scholastic', 'price': 29.95, 'category': 'Educational Games', 'subcategory': 'Math Games', 'platform': 'PC', 'edition': 'Standard Edition', 'type': 'Single-player', 'modelno': 'MM-SPEC-K2'}","{'title': 'topics entertainment math success deluxe 2008', 'manufacturer': '', 'price': 31.06, 'category': 'Education', 'subcategory': 'Mathematics', 'platform': 'DVD', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'TE08DVD'}"
4,636,2153,1,"{'title': 'mavis beacon teaches typing deluxe v17', 'manufacturer': 'encore software', 'price': 39.99, 'category': 'Education', 'subcategory': 'Typing & Keyboarding', 'platform': 'Windows', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'v17'}","{'title': 'mavis beacon teaches typing v17 deluxe pc/mac', 'manufacturer': '', 'price': 29.9, 'category': 'Education', 'subcategory': 'Typing & Keyboarding', 'platform': 'Windows & Mac', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'v17'}"
5,1186,195,0,"{'title': 'adobe creative suite cs3 web standard [ mac ]', 'manufacturer': 'adobe', 'price': 999.0, 'category': 'Web Design', 'subcategory': 'Software', 'platform': 'Mac', 'edition': 'Web Standard', 'type': 'Suite', 'modelno': 'CS3'}","{'title': 'netopia timbuktu pro for mac single license', 'manufacturer': '', 'price': 97.99, 'category': 'Remote Control', 'subcategory': 'Remote Access', 'platform': 'macOS', 'edition': 'Professional', 'type': 'Software', 'modelno': 'TIMBUKTU-PRO-MAC-SINGLE'}"
6,1177,239,0,"{'title': 'microsoft office student and teacher edition 2004 macintosh', 'manufacturer': 'microsoft', 'price': 149.99, 'category': 'Productivity Software', 'subcategory': 'Office Suites', 'platform': 'Macintosh', 'edition': 'Student and Teacher Edition', 'type': 'Software', 'modelno': '2004'}","{'title': 'microsoft windows vista ultimate retail no open box returns', 'manufacturer': '', 'price': 399.99, 'category': 'Operating Systems', 'subcategory': 'Windows', 'platform': 'Windows', 'edition': 'Ultimate', 'type': 'Retail', 'modelno': 'No Open Box Returns'}"
7,628,2280,0,"{'title': 'delorme topo usa mapping software 6.0 west region', 'manufacturer': 'delorme', 'price': 49.95, 'category': 'Software', 'subcategory': 'Mapping', 'platform': 'Windows', 'edition': '6.0', 'type': 'Topo', 'modelno': 'USA-WEST'}","{'title': 'encore software 10450 encore high school advantage v. 2007 complete product training/wbt 1 user complete product standard pc', 'manufacturer': '', 'price': 25.97, 'category': 'Education', 'subcategory': 'Software', 'platform': 'Windows', 'edition': 'Complete Product Training', 'type': 'Web-Based Training', 'modelno': '10450'}"
8,427,2420,0,"{'title': 'victorymul submitwolf version 6.0 swolf6r )', 'manufacturer': 'victory multimedia', 'price': 149.99, 'category': 'Software', 'subcategory': 'Developer Tools', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Utility', 'modelno': 'SWolf6R'}","{'title': 'punch software 38100 punch ! super home suite ( small box )', 'manufacturer': 'punch software', 'price': 45.99, 'category': 'Home & Landscape Design', 'subcategory': 'Home Design Software', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Desktop Software', 'modelno': '38100'}"
9,579,3156,0,"{'title': 'h & r block taxcut 2006 premium federal + state + efile', 'manufacturer': 'h & r block', 'price': 59.99, 'category': 'Tax Software', 'subcategory': 'Federal + State', 'platform': 'Mac/Windows', 'edition': 'Premium', 'type': 'Efile', 'modelno': '2006'}","{'title': 'wheel of fortune ( r )', 'manufacturer': '', 'price': 19.99, 'category': 'Games', 'subcategory': 'Board Games', 'platform': 'PC', 'edition': 'Standard', 'type': 'Video Game', 'modelno': 'WOF-R'}"
