,ltable_id,rtable_id,label,l_entity,r_entity
0,8810,1595,0,"{'/productID': '[10061229]', 'brand': '""            Prada          ""@en', 'category': 'Luggage_and_Travel_Gear'}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Cartier"" ""CartierCartier Tank Francaise Series Women\'s Watch W50002N2""   ""See a beautiful diamond'}"
1,0,3086,0,"{'/productID': '[10061229]', 'brand': '""            Prada          ""@en', 'category': 'Luggage_and_Travel_Gear'}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Cartier"" ""CartierCartier Roadster Series Men\'s Watch W62025V3""   ""See a beautiful diamond watch o'}"
4,0,4783,0,"{'/productID': '[10061229]', 'brand': '""            Prada          ""@en', 'category': 'Luggage_and_Travel_Gear'}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Cartier"" ""CartierCartier Tank Francaise Series Women\'s Watch W51028Q3""   ""See a beautiful diamond'}"
5,8001,7811,0,"{'/productID': '[10061229]', 'brand': '""            Prada          ""@en', 'category': 'Luggage_and_Travel_Gear'}","{'title': '  ""Freja Reloj para mujer""@es ""Skagen Freja mujer 358SSSD nur 119 00 €""@es', 'sku': {'title': '  ""Freja Reloj para mujer""@es ""Skagen Freja mujer 358SSSD nur 119 00 €""@es', 'sku': nan}, 'description': '  ""Freja Reloj para mujer""@es ""Skagen Freja mujer 358SSSD nur 119 00 €""@es'}"
7,0,1329,0,"{'/productID': '[10061229]', 'brand': '""            Prada          ""@en', 'category': 'Luggage_and_Travel_Gear'}","{'title': '', 'brand': 'Calvin Klein', 'color': '', 'gender': 'Ladies', 'sku': '', 'diameter': '', 'description': '  ""Ladies Classic Watch ""@de ""Calvin Klein Uhren und Schmuck | Official CALVIN KLEIN Stockist""@de'}"
10,7829,6968,0,"{'/sku': '[dw00100147]', 'category': 'Jewelry'}","{'title': 'MW21A01B0966_MS18EV246710', 'brand': 'Michele', 'color': 'Gold plated', 'gender': 'Ladies', 'sku': 'MW21A000008', 'diameter': 'Scratch resistant sapphire crystal', 'description': '  ""Michele Serein Watch MW21A01B0966_MS18EV246710"" ""Shop Michele MWW21A000008 Watches | Costello Jew'}"
11,2458,2713,0,"{'/sku': '[dw00100147]', 'category': 'Jewelry'}","{'title': 'MWW21A000008', 'brand': 'Michele', 'color': 'Stainless steel, 18k yellow gold plated', 'gender': 'Ladies', 'sku': 'MW21A01B0966_MS18EV246710', 'diameter': '', 'description': '  ""Michele Serein Watch MWW21A000008"" ""Shop Michele MW21A01B0966_MS18EV246710 Watches | Costello Jew'}"
15,6610,5950,0,"{'/sku': '[dw00100147]', 'category': 'Jewelry'}","{'title': '', 'brand': 'Cartier', 'color': '', 'gender': 'W', 'sku': 'W20018D6', 'diameter': '', 'description': '  ""Cartier Santos W20018D6"" W20018D6 Watch | Watchfinder & Co.""  ""This Cartier has undergone a thoro'}"
20,1328,8179,1,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten', 'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': ""Casio Men's G-Shock Alarm Chronograph Watch"", 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': '', 'description': '  "" Casio Men\'s G-Shock Alarm Chronograph Watch""@en ""Men\'s Watch (GA-201-1AER) - WATCH SHOP.com™""@en'}"
21,2999,299,1,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Casio GA-201-1AER""@bg GA-201-1AER | G-Shock Stotak.com""@bg', 'title': 'Casio GA-201-1AER', 'brand': 'G-Shock', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': '', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten'}"
