,0,1,text
0,2802,5576,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Nike Femme Free Run - Bleu/ Noir/ Carmin""@fr "" Nike chaussures pour femme bleu noir carmin ""@fr'}

Entity 2:{'title': '""TomTom Multi-Sport Cardio CSS+AM GPS Montre - frèquencemètres & Montres Sport Gris""@fr'}"
1,1759,11915,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Canon Digital 7D Body Only""@en-US Only | Infocus Camera & Imaging""@en-US'}

Entity 2:{'title': '""Canon EOS 80D DSLR Camera (Body)""@en "" Canon (Body) | Digital SLR Toronto Canada Store Cameras Aden ""@en'}"
2,6592,2476,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Kingston 128GB SDXC Flash Memory Card, Class 3""@en Card 3 (SDA3/128GB)""@en'}

Entity 2:{'title': '""Apple iPad mini 4 Wi-Fi - tablet 128 GB 7.9"""" "" Apple 7.9"" MK9P2LL/A Tablets CDW.com'}"
3,12893,2476,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Apple - 12.9- Inch iPad Pro with Wi-Fi 32 GB Silver""@en-US'}

Entity 2:{'title': '""Apple iPad mini 4 Wi-Fi - tablet 128 GB 7.9"""" "" Apple 7.9"" MK9P2LL/A Tablets CDW.com'}"
4,9482,5801,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Nike Zoom Speed TR3 -Negro/Blanco""@es "" Nike -Zapatillas para hombre-Negro-Blanco ""@es'}

Entity 2:{'title': '""Nike Zoom Winflo 3 - Nero/Bianco/Anthracide""@it "" Nike Abbigliamento Uomo Nero/Bianco/Anthracide ""@it'}"
5,3921,3396,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Canon EOS 80D - body only"" "" Canon only 1263C004 Digital Cameras CDW.com'}

Entity 2:{'title': '""Canon EF 24-70mm f/2.8 L II USM Lens""@en ""Camera Lenses :: Canon Lens - Onestop Digital""@en'}"
6,6185,5801,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Manfrotto Pro Video Head 75mm (MVH502A) - Prijzen ""@NL Tweakers""@NL'}

Entity 2:{'title': '""Nike Zoom Winflo 3 - Nero/Bianco/Anthracide""@it "" Nike Abbigliamento Uomo Nero/Bianco/Anthracide ""@it'}"
7,4751,12484,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Samsung Gear S2 Classic - black smart watch with band 4 GB"" "" Samsung GB SM-R7320ZKAXAR Cell/Smart Phones CDW.com'}

Entity 2:{'title': '""Samsung Gear S2 Smartwatch - Classic"" ""Smart Watches Page 4 | All Fitness Gadgets""'}"
8,6770,12318,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Sony Cyber-shot® DSC-WX80""@en "" Sony DSC-WX80 (Black) 16.2-megapixel digital camera with 8X optical zoom and Wi-Fi® at Crutchfield.com ""@en'}

Entity 2:{'title': '"" Sony DSCW800/B 20.1 MP Digital Camera (Black) ""@en-US ""Sony | EISF""@en-US'}"
9,1173,3574,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Canon EF 50mm f/1.8 II - Prijzen ""@NL Tweakers""@NL'}

Entity 2:{'title': '""Canon CB-2LX Battery Charger"" "" Canon Charger - 1133B001 Camera & Camcorder Chargers CDW.com'}"
10,6990,12092,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Apple Smart Cover iPad Pro 2017 10.5 Roze - Specificaties ""@NL Tweakers""@NL'}

Entity 2:{'title': '"" Apple 12.9-inch iPad Pro Wi-Fi 256GB - Silver ""@us'}"
11,12405,1611,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Max Bill Ladies´ Watch""@en ""Junghans Max Watch 047/4659.00 nur € 495.00""@en'}

Entity 2:{'title': '""Ladies Classic Watch ""@de ""Calvin Klein Uhren und Schmuck | Official CALVIN KLEIN Stockist""@de'}"
12,5086,11198,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '"" AUGUSTUS Deckenleuchte Chrom, 1xLED - Leuchte GLOBO 41331 Modern Chrom LED, GLO ""@de, ""AUGUSTUS GLO""@de LED günstig mit 2""@de'}

Entity 2:{'title': '""Classic Black York Silver 40mm""@de 20 €""@de ""Daniel Wellington Classic 40mm nur 151'}"
13,10865,6592,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""SanDisk Extreme PRO 16GB Compact Flash Memory Card UDMA 7 Speed Up To 160MB/s- SDCFXPS-016G-X46 (Label May Change)"" ""Camera & Photo Accessories - Page 171 | All Tech Toys""'}

Entity 2:{'title': '""Kingston Digital 128GB SDXC UHS-I Speed Class 3 90MB/s Read 80MB/s Write Flash Memory Card (SDA3/128GB)"" ""Camera & Photo Accessories - Page 1191 | All Tech Toys""'}"
14,6990,11274,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Apple Smart Cover iPad Pro 2017 10.5 Roze - Specificaties ""@NL Tweakers""@NL'}

Entity 2:{'title': '""Apple Smart screen cover for tablet"" "" Apple tablet - MK0L2ZM/A Tablet Cases & Covers CDWG.com'}"
15,12854,5086,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Apple MMGF2LL/A MacBook Air 13.3-Inch Laptop (8GB RAM 128 GB SSD) MMGF2"" ""Laptops | Computers Authority""'}

Entity 2:{'title': '""Scratch & Dent Acer Chromebook C731T-C42N Celeron N3060 1.6GHz 4GB 16GB ac BT WC 3C 11.6"" HD MT Chrome""@en ""NX.GM9AA.001 - Scratch MacConnection""@en'}"
16,10338,5385,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Null"" ""495942-B21 HP E5506 2.13GHz ML370 G6""'}

Entity 2:{'title': '""495906-B21 HP X5560 2.80GHz ML350 G6"" ""Null""'}"
17,4272,12607,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Polar Loop 2 Zwart (Zwart) - Prijzen ""@NL Tweakers""@NL'}

Entity 2:{'title': '""GoPro Surfboard Mount - Prijzen ""@NL Tweakers""@NL'}"
18,119,11602,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""325134-001 DL580R G2 (2P) Xeon 2.8GHz"", ""Null"" 2.8GHz Wholesale 325134-001 Price 325134-001""'}

Entity 2:{'title': '""409159-B21 HP Xeon E5345 2.33GHz DL160 G3"", ""Null"" Price 409159-B21"" ""New 409159-B21 G3 Wholesale'}"
19,9467,5277,"Enrich Entity 1 and Entity 2 with attributes: category/subcategory/brand/modelno/key_features. Return in json format.

 Entity 1:{'title': '""Nikon 18-105mm f/3.5-5.6G ED VR AF-S DX Nikkor Autofocus Lens""@en Lens - Fumfie.com""@en'}

Entity 2:{'title': '""Sigma Zoom Telephoto 70-300mm f/4-5.6 DG Macro Autofocus Lens for Nikon AF""@en AF - Fumfie.com""@en'}"
