,ltable_id,rtable_id,label
0,910,910,1
2,1043,1043,1
4,993,993,1
6,255,255,1
12,1120,1120,1
14,225,225,1
15,519,519,1
17,39,39,1
23,866,866,1
37,1323,1323,1
38,1013,1013,1
47,677,677,1
51,481,481,1
54,1198,1198,1
55,1061,1061,1
62,521,521,1
63,1194,1194,1
66,625,625,1
68,150,150,1
72,648,648,1
78,1381,1381,1
81,129,129,1
83,498,498,1
85,583,583,1
108,85,85,1
120,879,879,1
127,1281,1281,1
128,1374,1374,1
130,1251,1251,1
135,291,291,1
138,37,37,1
140,1345,1345,1
149,1226,1226,1
152,766,766,1
154,824,824,1
160,329,329,1
165,508,508,1
171,679,679,1
178,737,737,1
189,713,713,1
190,1045,1045,1
194,602,602,1
200,1034,1034,1
204,1262,1262,1
217,1032,1032,1
220,624,624,1
239,578,578,1
241,907,907,1
251,634,634,1
255,558,558,1
257,326,326,1
259,133,133,1
269,142,142,1
285,47,47,1
289,551,551,1
307,987,987,1
313,105,105,1
323,1331,1331,1
324,318,318,1
340,747,747,1
345,510,510,1
351,1354,1354,1
355,989,989,1
358,223,223,1
370,1046,1046,1
371,328,328,1
375,1273,1273,1
379,943,943,1
402,530,530,1
403,883,883,1
420,632,632,1
439,468,468,1
443,1383,1383,1
466,1130,1130,1
471,1279,1279,1
488,1065,1065,1
491,951,951,1
509,59,59,1
511,84,84,1
514,621,621,1
523,410,410,1
524,1270,1270,1
586,842,842,1
613,1306,1306,1
654,771,771,1
708,750,750,1
740,348,348,1
747,463,463,1
749,343,343,1
795,742,742,1
818,252,252,1
857,1051,1051,1
869,189,189,1
871,472,472,1
877,1353,1353,1
1048,1059,1059,1
1134,322,322,1
1136,532,532,1
1405,444,444,1
1583,13,13,1
