,ltable_id,rtable_id,l_entity,r_entity,label
0,910,910,"{
  ""title"": ""Savage 19676 11 TROPHY HUNTER XP 223 NIKON ""@en, NIKON""@en"",
  ""category"": ""Hunting"",
  ""subcategory"": ""Rifles"",
  ""brand"": ""Savage"",
  ""modelno"": ""19676"",
  ""sku"": ""TROPHY HUNTER XP 223 NIKON"",
  ""key_features"": [""AccuTrigger"", ""AccuStock"", ""223 Remington""]
}
","{'title': '""Savage 19676 11 TROPHY HUNTER XP 223 NIKON""@en NIKON $480.00""@en', 'category': 'Sporting Goods', 'subcategory': 'Hunting', 'brand': 'Savage', 'modelno': '19676', 'sku': 'Trophy Hunter XP 223 NIKON', 'key_features': ['AccuTrigger', 'threaded barrel', '10-round magazine']}",1
1,96,519,"{
  ""title"": ""Sony Cyber-shot RX100""@en DSC-RX100""@en,
  ""category"": ""Digital Cameras"",
  ""subcategory"": ""Point-and-Shoot Cameras"",
  ""brand"": ""Sony"",
  ""modelno"": ""DSC-RX100"",
  ""sku"": ""RX100"",
  ""key_features"": [""20.2 MP sensor"", ""f/1.8-4.9 zoom lens"", ""3.6x optical zoom"", ""Wi-Fi"", ""NFC""]
}
","{'title': '""Sony Cyber-shot® DSC-RX100 II""@en "" Sony II Large-sensor 20.2-megapixel compact digital camera with Wi-Fi® at Crutchfield.com ""@en', 'category': 'Electronics', 'subcategory': 'Cameras & Camcorders', 'brand': 'Sony', 'modelno': 'DSC-RX100 II', 'sku': 'Sony II', 'key_features': ['Large-sensor', '20.2-megapixel', 'compact', 'digital camera', 'Wi-Fi']}",0
2,1043,1043,"{
  ""title"": ""\""Canon Digital 70D Body Only\""@en-US Only | Infocus Camera & Imaging\""@en-US"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras"",
  ""brand"": ""Canon"",
  ""modelno"": ""70D"",
  ""sku"": ""Body Only"",
  ""key_features"": [""20.2 MP APS-C CMOS Sensor"", ""Dual Pixel CMOS AF"", ""3.0\"" 1,040k-Dot Vari-Angle Touchscreen""]
}
","{
  ""title"": ""Used Canon 70D Body D - Good Condition"",
  ""category"": ""Cameras"",
  ""subcategory"": ""DSLR Cameras"",
  ""brand"": ""Canon"",
  ""modelno"": ""70D"",
  ""sku"": ""70D_D"",
  ""key_features"": [""20.2 MP APS-C Sensor"", ""Dual Pixel CMOS AF"", ""3.0\"" Clear View II LCD""]
}
",1
3,1198,329,"{'title': '""Canon EOS 6D Digital SLR Camera Body with EF 24-105mm L IS USM Lens""@en', 'category': 'Cameras & Optics', 'subcategory': 'Digital SLR Cameras', 'brand': 'Canon', 'modelno': 'EOS 6D', 'sku': '24-105mm L IS USM Lens', 'key_features': ['35mm Full-Frame CMOS Sensor', '11 Point AF System', '3.0"" Clear View LCD']}","{
  ""title"": ""\""Used Canon EOS 7D 18MP 1080HD DSLR Camera D - Good\""@en \"" Used DSLRs | Unique Photo \""@en"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras"",
  ""brand"": ""Canon"",
  ""modelno"": ""EOS 7D"",
  ""sku"": ""18MP 1080HD DSLR Camera D"",
  ""key_features"": [""18MP sensor"", ""1080p video"", ""8.0 fps continuous shooting"", ""3.0-inch LCD""]
}
",0
4,993,993,"{
  ""title"": ""\""GoPro Hero 6 Black\"" \""GIZMAN - กล้อง GoPro Black ถ่าย 4K กันน้ำ GIZMAN Lifestyle Showroom\"""",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras"",
  ""brand"": ""GoPro"",
  ""modelno"": ""Hero 6 Black"",
  ""sku"": ""GIZMAN"",
  ""key_features"": [""4K resolution"", ""Waterproof"", ""Touch screen"", ""Voice control""]
}
","{'title': '""GoPro Hero 6 Black"" Black - iCentre Malta Apple', 'category': 'Action Cameras', 'subcategory': 'GoPro', 'brand': 'GoPro', 'modelno': 'Hero 6 Black', 'sku': 'CHDHX-601', 'key_features': ['4K60 video recording', '5GHz Wi-Fi', 'RAW photo mode']}",1
5,225,508,"{
  ""title"": ""Sony Cyber-shot DSC-WX350 - digital camera""@en Specs CNET""@en,
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras"",
  ""brand"": ""Sony"",
  ""modelno"": ""DSC-WX350"",
  ""sku"": ""WX350"",
  ""key_features"": [""20.4 MP Exmor R CMOS sensor"", ""BIONZ X image processor"", ""3.0-inch tilting LCD screen""]
}
","{'title': '""SanDisk Extreme Pro SDXC 95MB/sec UHSI Card 64GB"" UHS-I -', 'category': 'Electronics', 'subcategory': 'Memory & Storage', 'brand': 'SanDisk', 'modelno': 'UHSI Card 64GB', 'sku': 'Extreme Pro SDXC 95MB/sec', 'key_features': ['95MB/sec read speed', 'UHS-I', '64GB capacity']}",0
6,255,255,"{
  ""title"": ""\""GoPro HERO3: Black Edition\""@en-US \""Camcorders | EISF\""@en-US"",
  ""category"": ""Camcorders"",
  ""subcategory"": ""EISF"",
  ""brand"": ""GoPro"",
  ""modelno"": ""HERO3: Black Edition"",
  ""sku"": ""GPH3BE"",
  ""key_features"": [""4K video recording"", ""12MP photos"", ""Wi-Fi and Bluetooth connectivity"", ""Touch screen display""]
}
",,1
7,105,146,"{'title': 'Nikkor AF-S 50mm f1.8G', 'category': 'Photography', 'subcategory': 'Lenses', 'brand': 'Nikon', 'modelno': '50mm f1.8G', 'sku': '123456789', 'key_features': ['Fast aperture', 'Sharpness', 'Color accuracy', 'Durability']}","{'title': 'Canon EF 17-40mm F4L USM', 'category': 'Photography', 'subcategory': 'Lenses', 'brand': 'Canon', 'modelno': '17-40mm F4L USM', 'sku': '987654321', 'key_features': ['Wide-angle to standard zoom', 'Fast aperture', 'Image stabilization', 'Durability']}",0
8,1408,343,"{
  ""title"": ""\""Manfrotto MVH500AH Fluid Head Flat Base\""""
}
","{
  ""title"": ""\""Manfrotto 502HD Pro Video Head w/ Flat Base MVH502AH\"" \"" Manfrotto MVH502AH For sale! - EuroOptic.com\"""",
  ""category"": ""Cameras & Optics"",
  ""subcategory"": ""Camera Accessories"",
  ""brand"": ""Manfrotto"",
  ""modelno"": ""MVH502AH"",
  ""sku"": ""MVH502AH"",
  ""key_features"": [""Video Head"", ""502HD"", ""Professional"", ""Flat Base""]
}
",0
9,37,1281,"{'title': 'SanDisk Extreme 64GB Compact Flash Card @en - Optics4Birding', 'category': 'Electronics', 'subcategory': 'Memory Cards', 'brand': 'SanDisk', 'modelno': 'SDCFXPS-064G-X46', 'sku': 'SDCFXPS064GX46', 'key_features': ['High speed', 'Durability', 'Reliable storage']}","{
  ""title"": ""\""Sandisk 32GB Ultra SDSDQL-032G microSDHC Card r30MB/s w12MB/s Class 10 Limited Stock\"""",
  ""category"": ""Electronics"",
  ""subcategory"": ""Memory Cards"",
  ""brand"": ""SanDisk"",
  ""modelno"": ""SDSDQL-032G"",
  ""sku"": ""32GB Ultra microSDHC Card"",
  ""key_features"": [""30MB/s read"", ""12MB/s write"", ""Class 10"", ""32GB capacity""]
}
",0
10,320,37,"{'title': 'Sandisk Extreme CompactFlash Memory Card - 64 GB (SDCFXS-064G-A46)', 'category': 'Electronics', 'subcategory': 'Memory Cards', 'brand': 'Sandisk', 'modelno': 'SDCFXS-064G-A46', 'sku': 'SDCFXS-064G-A46', 'key_features': ['High speed', 'Reliable', 'Durable']}","{
  ""title"": ""\""SanDisk - Extreme 64GB CompactFlash (CF) Memory Card\""@en-US"",
  ""category"": ""Computers & Accessories"",
  ""subcategory"": ""Memory & Storage"",
  ""brand"": ""SanDisk"",
  ""modelno"": ""Extreme 64GB"",
  ""sku"": ""SDCFXPS-064G-AFFP"",
  ""key_features"": [""Up to 90MB/s read speed"", ""Up to 60MB/s write speed"", ""VPG-20 supported""]
}
",0
11,255,255,"{
  ""title"": ""\""GoPro HERO3: Black Edition\""@en-US \""Camcorders | EISF\""@en-US"",
  ""category"": ""Camcorders"",
  ""subcategory"": ""EISF"",
  ""brand"": ""GoPro"",
  ""modelno"": ""HERO3: Black Edition"",
  ""sku"": null,
  ""key_features"": null
}
","{
  ""title"": ""\""GoPro HERO3: Black Edition Camera""@en "" In-Car Video | Unique Photo ""@en"",
  ""category"": ""Sports & Outdoors"",
  ""subcategory"": ""Action Cameras"",
  ""brand"": ""GoPro"",
  ""modelno"": ""HERO3: Black Edition"",
  ""sku"": ""CHDHX-301"",
  ""key_features"": [""4K30 video"", ""12MP photos"", ""Wi-Fi"", ""Built-in GPS""]
}
",1
12,1120,1120,"""Canon EOS 5D Mark IV 4K Wi-Fi Digital SLR Camera & EF 24-105mm f/4L IS II USM Lens""@en","""Canon EOS 5D Mark IV DSLR Camera with 24-105mm f/4L II Lens""@en Lens 1483C010 - Media Distributors""@en",1
13,1013,898,"{'title': '""Canon EF 85mm f/1.8 USM Lens""@en ""Camera Lenses :: Canon Lens - Onestop Digital""@en', 'category': 'Camera Lenses', 'subcategory': 'Canon Lens', 'brand': 'Canon', 'modelno': '85mm f/1.8 USM', 'sku': 'EF85M18USM', 'key_features': ['Portrait Photography', 'Fast Autofocus', 'Compact Design']}","{'title': '""Canon EF 17-40mm f/4 L USM Lens""@en ""Camera Lenses :: Canon Lens - Onestop Digital""@en', 'category': 'Camera Lenses', 'subcategory': 'Canon Lens', 'brand': 'Canon', 'modelno': '17-40mm f/4 L USM', 'sku': 'EF1740M4LUSM', 'key_features': ['Wide Angle Photography', 'Sharpness', 'Low Light Performance']}",0
14,225,225,"{'title': '""Sony Cyber-shot DSC-WX350 - digital camera""@en Specs CNET""@en', 'category': 'Electronics', 'subcategory': 'Cameras', 'brand': 'Sony', 'modelno': 'DSC-WX350', 'sku': 'WX350/B', 'key_features': ['20.4 MP Exmor R CMOS sensor', '40x optical zoom', 'Full HD video recording']}","{
  ""title"": ""\""SONY WX350 COMPACT CAMERA WITH 20X OPTICAL ZOOM - DSC-WX350 (B)""@en"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras"",
  ""brand"": ""Sony"",
  ""modelno"": ""DSC-WX350"",
  ""sku"": ""1789918920017"",
  ""key_features"": [""20x optical zoom"", ""Bridge camera"", ""20.4MP sensor"", ""Wi-Fi and NFC connectivity""]
}
",1
15,519,519,"{'title': 'Sony Cyber-shot Digital Camera RX100 II, 20.2MP, Black', 'category': 'Electronics', 'subcategory': 'Cameras & Optics', 'brand': 'Sony', 'modelno': 'DSCRX100M2/B', 'sku': 'RX100II-BLACK', 'key_features': ['20.2MP sensor', 'Full HD video recording', '3.6x optical zoom']}","{'title': 'Sony Cyber-shotÂ® DSC-RX100 II @en Sony II Large-sensor 20.2-megapixel compact digital camera with Wi-FiÂ® at Crutchfield.com @en', 'category': 'Electronics', 'subcategory': 'Cameras', 'brand': 'Sony', 'modelno': 'DSC-RX100 II', 'sku': 'DEF456', 'key_features': ['20.2 megapixel', '3.6x optical zoom', 'Wi-FiÂ®', 'Full HD video recording']}",1
16,13,55,"{
  ""title"": ""\""Canon BG-E11 - battery grip\"" \"" Canon grip 5261B001 Digital Camera Accessories CDW.com"",
  ""category"": ""Digital Camera Accessories"",
  ""subcategory"": ""Battery Grips"",
  ""brand"": ""Canon"",
  ""modelno"": ""BG-E11"",
  ""sku"": ""5261B001"",
  ""key_features"": [""Improved ergonomics"", ""Additional battery capacity"", ""Faster charging""]
}
","{
  ""title"": ""\""Canon BG-E21 Battery Grip for EOS 6D Mark II\""@en II 2130C001 - Media Distributors\""@en"",
  ""category"": ""Digital Camera Accessories"",
  ""subcategory"": ""Battery Grips"",
  ""brand"": ""Canon"",
  ""modelno"": ""BG-E21"",
  ""sku"": ""2130C001"",
  ""key_features"": [""Improved ergonomics"", ""Additional battery capacity"", ""Compatibility with EOS 6D Mark II""]
}
",0
17,39,39,"{
  ""title"": ""\""Full HD Wireless Day Night Network Camera\""@fi \""DCS-2230L Full Camera | D-Link Finland\""@fi"",
  ""category"": ""Network Cameras"",
  ""subcategory"": ""Wireless Cameras"",
  ""brand"": ""D-Link"",
  ""modelno"": ""DCS-2230L"",
  ""sku"": ""2230L"",
  ""key_features"": [""Full HD resolution"", ""Day and Night mode"", ""Wireless connectivity""]
}
","{'title': 'PROFESSIONAL IP CAMERA FULL HD CLOUD WIRELESS', 'category': 'Security', 'subcategory': 'Surveillance Cameras', 'brand': 'D-Link', 'modelno': 'DCS-6210BSCW', 'sku': 'DCS6210BSCW', 'key_features': ['Full HD resolution', 'Wireless connectivity', 'Cloud support', 'Night vision', 'Motion detection']}",1
18,530,519,"{
  ""title"": ""\""Full HD Outdoor Mini Dome Camera\""@nb \""DCS-4802E Full Camera | D-Link Norge\""@nb"",
  ""category"": ""Outdoor Security Cameras"",
  ""subcategory"": ""Mini Dome Cameras"",
  ""brand"": ""D-Link"",
  ""modelno"": ""DCS-4802E"",
  ""sku"": ""DCS-4802E"",
  ""key_features"": [""Full HD resolution"", ""Day & Night monitoring"", ""Wide dynamic range""]
}
","{
  ""title"": ""\""Sony Cyber-shot® DSC-RX100 II\""@en \"" Sony II Large-sensor 20.2-megapixel compact digital camera with Wi-Fi® at Crutchfield.com \""@en"",
  ""category"": ""Digital Cameras"",
  ""subcategory"": ""Compact Digital Cameras"",
  ""brand"": ""Sony"",
  ""modelno"": ""DSC-RX100 II"",
  ""sku"": null,
  ""key_features"": [""20.2 Megapixel Exmor R CMOS Sensor"", ""3.6x Zoom Lens"", ""Wi-Fi® Connectivity""]
}
",0
19,1323,969,"{
  ""title"": ""\""Canon Speedlite 270EX II\""@en \"" Canon II | Digital SLR Camera Toronto Canada Store Cameras Aden \""@en"",
  ""category"": ""Cameras"",
  ""subcategory"": ""Flashes & Accessories"",
  ""brand"": ""Canon"",
  ""modelno"": ""270EX II"",
  ""sku"": ""270EXII"",
  ""key_features"": [""E-TTL II Auto Flash, Guide No. 27, Bounce Flash, Wireless Slave Flash""]
}
","{
  ""title"": ""\""Canon EOS 6D (Body) \"" Canon | Digital SLR Camera Cameras Toronto Canada Store Aden"",
  ""category"": ""Photography"",
  ""subcategory"": ""Digital SLR Cameras"",
  ""brand"": ""Canon"",
  ""modelno"": ""6D"",
  ""sku"": ""EOS6D"",
  ""key_features"": [""Full-frame sensor"", ""Wi-Fi and GPS connectivity"", ""Durable build quality""]
}
",0
20,1198,117,"{
  ""title"": ""\""Canon EOS 6D Digital SLR Camera Body with EF 24-105mm L IS USM Lens\""@en"",
  ""category"": ""Digital SLR Cameras"",
  ""subcategory"": ""Canon EOS"",
  ""brand"": ""Canon"",
  ""modelno"": ""6D"",
  ""sku"": ""24-105mm L IS USM"",
  ""key_features"": [""24.3 MP CMOS Sensor"", ""DIGIC 5+ Image Processor"", ""3.0\"" Clear View LCD Monitor""]
}
","{
  ""title"": ""\""Canon EOS 6D(N) Digital Camera (Body Only)""@en Only) - Fumfie.com""@en,
  ""category"": ""Digital Cameras"",
  ""subcategory"": ""DSLR Cameras"",
  ""brand"": ""Canon"",
  ""modelno"": ""6D"",
  ""sku"": ""67890EFGH"",
  ""key_features"": [""26.2 MP Full-Frame CMOS Sensor"", ""11-Point AF System"", ""3.0\"" Clear View LCD""]
}
",0
21,1209,47,"{
  ""title"": ""Nikon Telephoto AF Micro-Nikkor 105mm f/2.8G ED-IF AF-S VR (Vibration Reduction) Autofocus Lens""@en Lens - Fumfie.com""@en,
  ""category"": ""Photography"",
  ""subcategory"": ""Lenses"",
  ""brand"": ""Nikon"",
  ""modelno"": ""105mm f/2.8G ED-IF AF-S VR"",
  ""sku"": ""105mm f/2.8G ED-IF AF-S VR"",
  ""key_features"": [""Vibration Reduction"", ""Autofocus"", ""DX Format""]
}
","{'title': 'Nikon AF-S DX 18-105mm f/3.5-5.6G ED VR', 'category': 'Photography', 'subcategory': 'Lenses', 'brand': 'Nikon', 'modelno': '18-105mm f/3.5-5.6G ED VR', 'sku': '7891011', 'key_features': ['Versatile zoom range', 'Vibration Reduction', 'Compact and lightweight design']}",0
22,856,129,,"{
  ""title"": ""\""Fujifilm INSTAX Mini 8 Instant Film Camera (Pink)\"" \"" Fujifilm (Pink) – Pictureline"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras"",
  ""brand"": ""Fujifilm"",
  ""modelno"": ""INSTAX Mini 8"",
  ""sku"": ""Pink"",
  ""sku_url"": ""https://www.pictureline.com/fujifilm-instax-mini-8-instant-film-camera-pink"",
  ""description"": ""The Fujifilm INSTAX Mini 8 Instant Film Camera is a fun and easy-to-use camera that allows you to instantly print and share your photos."",
  ""price"": 69.99,
  ""price_currency"": ""USD"",
  ""availability"": ""In Stock"",
  ""key_features"": [""Instant Film Printing"", ""Credit Card Size Prints"", ""Selfie Mode"", ""Close-Up Lens Attachment""]
}
",0
