,0,1,text
0,2365,4784,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'canon cli-226 black ink tank', 'category': 'printers', 'brand': 'canon', 'modelno': '4546b001', 'price': 13.97}

Entity 2:{'title': 'kodak easyshare m552 14 mp digital camera with 5x optical zoom and 2.7-inch lcd - dark pink new model', 'category': 'point shoot digital cameras', 'brand': 'kodak', 'modelno': '1942390', 'price': ''}"
1,2018,21709,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'wintec filemate 4gb compactflash memory card', 'category': 'usb drives', 'brand': 'wintec', 'modelno': '3fmcf4gb-r', 'price': 15.98}

Entity 2:{'title': 'imation rdx removable hard disk cartridge 160gb', 'category': 'blank media', 'brand': 'imation', 'modelno': '26607', 'price': 108.0}"
2,428,19514,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'hp 27 black inkjet cartridge c8727an', 'category': 'printers', 'brand': 'hp', 'modelno': 'c8727an', 'price': 19.97}

Entity 2:{'title': 'canon cli-226 cyan ink tank 4547b001', 'category': 'inkjet printer ink', 'brand': 'canon', 'modelno': '4547b001', 'price': 11.99}"
3,960,5560,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'new york mets ipod touch 4g hard case', 'category': 'electronics - general', 'brand': 'tribeca', 'modelno': 'fva4459', 'price': 29.99}

Entity 2:{'title': 'chicago white sox pink iphone 4 hard case', 'category': 'computers accessories', 'brand': 'tribeca', 'modelno': '', 'price': 23.99}"
4,1559,4162,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'paper mate mechanical pencil starter set', 'category': 'stationery & office machinery', 'brand': 'paper mate', 'modelno': '1739312', 'price': 4.87}

Entity 2:{'title': 'penpower chinese expert writing pad edition', 'category': 'scanner accessories', 'brand': 'penpower', 'modelno': 'penpower chinese expert', 'price': 132.89}"
5,428,8668,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'hp 27 black inkjet cartridge c8727an', 'category': 'printers', 'brand': 'hp', 'modelno': 'c8727an', 'price': 19.97}

Entity 2:{'title': 'hp laserjet 53x black print cartridge in retail packaging', 'category': 'printer ink toner', 'brand': 'hp', 'modelno': 'q7553x', 'price': 134.99}"
6,741,6913,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'simplism shoulder case for ipad red', 'category': 'mp3 accessories', 'brand': 'simplism', 'modelno': 'trlcslipaddren', 'price': 58.76}

Entity 2:{'title': 'incipio smart feather case for apple ipad 2 - lime ipad-228', 'category': 'cases sleeves', 'brand': 'incipio', 'modelno': 'ipad-228', 'price': 29.18}"
7,2297,18357,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'da-lite medium oak veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format', 'category': 'electronics - general', 'brand': 'da-lite', 'modelno': '73171', 'price': 167.99}

Entity 2:{'title': 'new-innovera d2130b - d2130b compatible high-yield toner 2500 page-yield black - ivrd2130b', 'category': 'computer accessories', 'brand': 'innovera', 'modelno': '', 'price': 78.0}"
8,769,19026,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'accell proultra 4m hdmi ethernet cable', 'category': 'tv accessories', 'brand': 'accell', 'modelno': 'b116c-013b-40', 'price': 29.88}

Entity 2:{'title': 'iosafe rugged portable - hard drive - 500 gb - external - firewire 800 hi-speed usb superspeed usb - with 5 years data recovery service', 'category': 'surge protectors', 'brand': 'iosafe', 'modelno': 'pa50500u5yr', 'price': 290.49}"
9,561,13398,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'da-lite da-plex self trimming rear projection screen - 96 x 120 av format', 'category': 'electronics - general', 'brand': 'da-lite', 'modelno': '27903', 'price': 7799.99}

Entity 2:{'title': 'sunpak 67mm circular polarized filter', 'category': 'filters', 'brand': 'sunpak', 'modelno': 'cf-7061-cp', 'price': 14.99}"
10,184,5046,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'los angeles dodgers pink iphone 4 hard case', 'category': 'electronics - general', 'brand': 'tribeca', 'modelno': 'fva4450', 'price': 29.99}

Entity 2:{'title': 'griffin gb01967 outfit gloss for ipod touch 4g black', 'category': 'cases', 'brand': 'griffin technology', 'modelno': 'gb01967', 'price': 3.97}"
11,1573,21709,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'startech 3 slim 3.5 mm right angle stereo audio cable m m', 'category': 'electronics - general', 'brand': 'startech', 'modelno': 'mu3mms2ra', 'price': 7.88}

Entity 2:{'title': 'imation rdx removable hard disk cartridge 160gb', 'category': 'blank media', 'brand': 'imation', 'modelno': '26607', 'price': 108.0}"
12,1861,1696,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'innovera d2130b black compatible high-yield toner print cartridge', 'category': 'printers', 'brand': 'innovera', 'modelno': 'd2130b', 'price': 58.9}

Entity 2:{'title': 'verbatim 95079 4.7 gb up to 16x datalifepluswhite inkjet printablehub printable recordable disc dvd-r 50-disc spindle', 'category': 'cd-r discs', 'brand': 'verbatim', 'modelno': '95079', 'price': 16.14}"
13,65,21044,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'epson t020201 color ink cartridge', 'category': 'printers', 'brand': 'epson', 'modelno': 't020201', 'price': 27.0}

Entity 2:{'title': 'epson t027201 inkjet cartridge color', 'category': 'inkjet printer ink', 'brand': 'epson', 'modelno': 't027201', 'price': 21.49}"
14,934,15077,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'evga geforce 210 512mb ddr3 pci express graphics card', 'category': 'electronics - general', 'brand': 'evga', 'modelno': '512p31310lr', 'price': 32.88}

Entity 2:{'title': 'evga geforce gts450 fpb 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1450-tr', 'category': 'graphics cards', 'brand': 'evga', 'modelno': '01g-p3-1450-tr', 'price': 119.99}"
15,2395,4784,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'casio exilim ex-zs10 14.1 mp digital camera blue w 5x optical zoom 2.7 lcd display', 'category': 'digital cameras', 'brand': 'casio', 'modelno': 'ex-zs10be', 'price': 120.0}

Entity 2:{'title': 'kodak easyshare m552 14 mp digital camera with 5x optical zoom and 2.7-inch lcd - dark pink new model', 'category': 'point shoot digital cameras', 'brand': 'kodak', 'modelno': '1942390', 'price': ''}"
16,101,12595,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'case logic slr camera backpack', 'category': 'mp3 accessories', 'brand': 'case logic', 'modelno': 'dcb-309black', 'price': 79.99}

Entity 2:{'title': 'case logic qpb-201 eva molded compact camera case gray', 'category': 'cases bags', 'brand': 'case logic', 'modelno': 'qpb-201gray', 'price': 9.88}"
17,2514,5415,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'cables unlimited 3 high-speed hdmi cable black', 'category': 'tv accessories', 'brand': 'cables unlimited', 'modelno': 'pcm-2295-03', 'price': 10.88}

Entity 2:{'title': 'startech.com mu3mms2ra slim 3.5 mm right angle stereo audio cable - m m 3 feet', 'category': 'connectors adapters', 'brand': 'startech', 'modelno': 'mu3mms2ra', 'price': 4.49}"
18,1471,18170,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'epson america powerlite d6250 projector', 'category': 'electronics - general', 'brand': 'epson', 'modelno': 'elpd6250', 'price': 1599.0}

Entity 2:{'title': 'xantech 283dmw designer blink emitter single mini wire', 'category': 'printers', 'brand': 'xantech', 'modelno': '', 'price': ''}"
19,1251,13148,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'diamond radeon hd 5450 pci-e 512mb ddr3 graphics card', 'category': 'electronics - general', 'brand': 'diamond', 'modelno': '5450pe3512sb', 'price': 46.88}

Entity 2:{'title': 'evga geforce 210 512 mb ddr3 pci-express 2.0 graphics card video card 512-p3-1310-lr', 'category': 'graphics cards', 'brand': 'evga', 'modelno': '512-p3-1310-lr', 'price': 34.88}"
20,1504,9164,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'kensington wireless presenter pro with green laser pointer', 'category': 'stationery & office machinery', 'brand': 'kensington', 'modelno': 'k72353us', 'price': 59.88}

Entity 2:{'title': '4gb edge proshot sdhc memory card class6', 'category': 'computers accessories', 'brand': 'edge', 'modelno': '', 'price': 17.83}"
21,95,7044,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'hp ce505xd black laserjet print cartridges 2pk', 'category': 'printers', 'brand': 'hp', 'modelno': 'hp ce505xd', 'price': 258.84}

Entity 2:{'title': 'performance plus remanufactured hp56 black inkjet cartridge c6656an 56', 'category': 'inkjet printer ink', 'brand': 'performance plus', 'modelno': 'c6656an # 56', 'price': 5.96}"
22,81,9095,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'innovera heavyweight photo paper matte 8-1 2 x 11 50 sheets pack', 'category': 'stationery & office machinery', 'brand': 'innovera', 'modelno': '99650', 'price': 11.7}

Entity 2:{'title': 'genuine hp 56 c6656an black inkjet print cartridge', 'category': 'inkjet printer ink', 'brand': 'hp', 'modelno': 'c6656an', 'price': 24.19}"
23,561,14687,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'da-lite da-plex self trimming rear projection screen - 96 x 120 av format', 'category': 'electronics - general', 'brand': 'da-lite', 'modelno': '27903', 'price': 7799.99}

Entity 2:{'title': 'da-lite da-plex unframed rear projection screen - 108 x 144 video format', 'category': 'projection screens', 'brand': 'da-lite', 'modelno': '27514', 'price': 8094.0}"
24,1992,20767,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'wintec filemate 4gb sdhc secure digital flash memory card', 'category': 'usb drives', 'brand': 'wintec', 'modelno': '3fmsd4gb-r', 'price': 7.99}

Entity 2:{'title': 'wintec filemate 16 gb class 4 microsd memory card', 'category': 'memory cards', 'brand': 'wintec', 'modelno': '3fmusdck16gb-r', 'price': 34.65}"
25,2535,17488,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'lexmark 12a8425 black high-yield toner print cartridge', 'category': 'printers', 'brand': 'lexmark', 'modelno': '12a8425', 'price': 302.4}

Entity 2:{'title': 'new-7653 compatible ink 8000 page-yield red case pack 1 - 513443', 'category': 'computer accessories', 'brand': 'innovera', 'modelno': '', 'price': 97.3}"
26,2518,811,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'memorex color slim cd jewel cases - 50 pack', 'category': 'electronics - general', 'brand': 'memorex', 'modelno': '3202-1950', 'price': 19.88}

Entity 2:{'title': 'new-m4640 compatible remanufactured high-yield ink case pack 1 - 513508', 'category': 'computer accessories', 'brand': 'innovera', 'modelno': '', 'price': 43.99}"
27,594,5415,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'uniden d2998 dect 6.0 loud and clear digital answering system with cordless handset', 'category': 'electronics - general', 'brand': 'uniden', 'modelno': 'd2998', 'price': 79.93}

Entity 2:{'title': 'startech.com mu3mms2ra slim 3.5 mm right angle stereo audio cable - m m 3 feet', 'category': 'connectors adapters', 'brand': 'startech', 'modelno': 'mu3mms2ra', 'price': 4.49}"
28,29,12059,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'vantec nexstar mx dual 3.5 sata hard drive enclosure', 'category': 'electronics - general', 'brand': 'vantec', 'modelno': 'nst-400mx-s2', 'price': 49.71}

Entity 2:{'title': 'vantec nexstar sx nst-285s2-sl 2.5-inch sata to usb 2.0 external hard drive enclosure metallic silver silver', 'category': 'hard drive enclosures', 'brand': 'vantec', 'modelno': 'nst-285s2-sl', 'price': 15.88}"
29,88,2611,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'balt wheasel easel adjustable melamine dry erase board white', 'category': 'stationery & office machinery', 'brand': 'balt', 'modelno': '33250', 'price': 239.88}

Entity 2:{'title': 'canon mp41dhii - mp41dhii two-color printing calculator 14-digit gloview lcd black red', 'category': 'storage presentation materials', 'brand': 'canon', 'modelno': '', 'price': ''}"
30,1502,5038,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'san diego padres iphone 4 case silicone cover', 'category': 'electronics - general', 'brand': 'tribeca', 'modelno': 'fva3959', 'price': 24.99}

Entity 2:{'title': 'griffin technology formfit for ipod touch 4g black clear', 'category': 'cases', 'brand': 'griffin technology', 'modelno': 'gb01957', 'price': 7.4}"
31,2191,18617,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'chicago bears ipod touch 4g hard case', 'category': 'electronics - general', 'brand': 'tribeca', 'modelno': 'fva4587', 'price': 29.99}

Entity 2:{'title': 'cincinnati bengals ipod touch 4g hard case', 'category': 'computers accessories', 'brand': 'tribeca', 'modelno': '', 'price': 29.99}"
32,1245,7893,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'protector film for ipad 2 anti-glare', 'category': 'mp3 accessories', 'brand': 'simplism', 'modelno': 'tr-pfipd2-ag / en', 'price': 14.99}

Entity 2:{'title': 'green onions supply anti-glare screen protector for 10.1 16 9 hd widescreen', 'category': 'screen protectors', 'brand': 'green', 'modelno': 'rt-spfg10101w / m', 'price': 19.99}"
33,737,8618,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'lexmark t650a11a black toner print cartridge', 'category': 'printers', 'brand': 'lexmark', 'modelno': 't650a11a', 'price': 202.87}

Entity 2:{'title': 'canon cli-226 black ink tank 4546b001 in retail packaging', 'category': 'inkjet printer ink', 'brand': 'canon', 'modelno': '4546b001', 'price': 13.97}"
34,1573,6675,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'startech 3 slim 3.5 mm right angle stereo audio cable m m', 'category': 'electronics - general', 'brand': 'startech', 'modelno': 'mu3mms2ra', 'price': 7.88}

Entity 2:{'title': '1m microhd high quality high speed hdmi to hdmi micro cable', 'category': 'audio cables', 'brand': 'siig', 'modelno': 'cb-hd0012-s1', 'price': 6.69}"
35,1145,17488,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'kodak easyshare m531 red 14mp digital camera w 3x optical zoom 2.7 lcd display w 50 bonus prints', 'category': 'digital cameras', 'brand': 'kodak', 'modelno': 'm531 red', 'price': 89.0}

Entity 2:{'title': 'new-7653 compatible ink 8000 page-yield red case pack 1 - 513443', 'category': 'computer accessories', 'brand': 'innovera', 'modelno': '', 'price': 97.3}"
36,81,16800,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'innovera heavyweight photo paper matte 8-1 2 x 11 50 sheets pack', 'category': 'stationery & office machinery', 'brand': 'innovera', 'modelno': '99650', 'price': 11.7}

Entity 2:{'title': 'c-line 62097 - top-load polypropylene sheet protectors heavy gauge letter 200 box', 'category': 'storage presentation materials', 'brand': 'c-line', 'modelno': '', 'price': ''}"
37,1805,21964,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'sandisk 16gb sdhc memory card', 'category': 'usb drives', 'brand': 'sandisk', 'modelno': 'sdsdb016gaw11', 'price': 34.54}

Entity 2:{'title': '4gb edge proshot sdhc memory card class6', 'category': 'hard drive enclosures', 'brand': 'edge', 'modelno': 'edgdm-209780-pe', 'price': 11.87}"
38,470,11428,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'iogear gbu421w6 bluetooth usb micro adapter', 'category': 'networking', 'brand': 'iogear', 'modelno': 'gbu421w6', 'price': 14.84}

Entity 2:{'title': 'startech.com 6 feet usb to db25 parallel printer adapter cable - m f icusb1284d25', 'category': 'connectors adapters', 'brand': 'startech', 'modelno': 'icusb1284d25', 'price': 14.25}"
39,969,8897,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'bic round stic grip ball pen blue 1 dozen 3-pack', 'category': 'electronics - general', 'brand': '', 'modelno': '', 'price': 4.53}

Entity 2:{'title': 'joby gp1-eyen gorillapod flexible tripod yellow', 'category': '', 'brand': 'joby', 'modelno': 'gp1-0yen', 'price': 14.0}"
40,2548,11428,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'sabrent 6-in-1 usb 2.0 flash memory card reader', 'category': 'usb drives', 'brand': 'sabrent', 'modelno': 'crw-ext', 'price': 10.98}

Entity 2:{'title': 'startech.com 6 feet usb to db25 parallel printer adapter cable - m f icusb1284d25', 'category': 'connectors adapters', 'brand': 'startech', 'modelno': 'icusb1284d25', 'price': 14.25}"
41,688,8618,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'kodak easyshare m530 red 12mp digital camera w 3x optical zoom 2.7 lcd w 50 bonus prints', 'category': 'digital cameras', 'brand': 'kodak', 'modelno': 'm530 red', 'price': 99.54}

Entity 2:{'title': 'canon cli-226 black ink tank 4546b001 in retail packaging', 'category': 'inkjet printer ink', 'brand': 'canon', 'modelno': '4546b001', 'price': 13.97}"
42,1564,1607,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'incipio smart feather for apple ipad 2 light blue', 'category': 'electronics - general', 'brand': 'incipio', 'modelno': 'ipad-227', 'price': 33.25}

Entity 2:{'title': 'xantech 283tpd designer twin plug blink emitter', 'category': 'accessories supplies', 'brand': 'xantech', 'modelno': '283tpd', 'price': 13.64}"
43,2052,2593,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'georgetown hoyas iphone 4 case black shell', 'category': 'electronics - general', 'brand': 'tribeca', 'modelno': 'fva3162', 'price': 29.99}

Entity 2:{'title': 'case logic dcb-309 slr camera backpack black', 'category': 'cases bags', 'brand': 'case logic', 'modelno': 'dcb-309', 'price': 53.58}"
44,979,6286,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'simplism protector film for ipad', 'category': 'mp3 accessories', 'brand': 'simplism', 'modelno': 'trpfsipadagen', 'price': 23.41}

Entity 2:{'title': 'georgetown hoyas iphone 4 case black shell', 'category': 'computers accessories', 'brand': 'tribeca', 'modelno': '', 'price': 18.99}"
45,1070,8390,"Enrich Entity 1 and Entity 2 with attributes: subcategory/key_features/sku/color. Return in json format.

Entity 1:{'title': 'chicago cubs pink iphone 4 hard case', 'category': 'electronics - general', 'brand': 'tribeca', 'modelno': 'fva4424', 'price': 29.99}

Entity 2:{'title': 'st louis cardinals iphone 3g 3gs silicone case', 'category': 'computers accessories', 'brand': 'tribeca', 'modelno': 'fva2054', 'price': 17.99}"
