,ltable_id,rtable_id,label
0,2332,18200,1
1,2405,8668,1
2,1860,5560,1
4,725,16800,1
7,1813,3253,1
13,1070,18620,1
31,720,13398,1
35,1997,12451,1
42,1761,4576,1
44,810,11428,1
54,1573,5415,1
61,1813,1607,1
62,88,18980,1
63,2297,10869,1
69,1413,2788,1
97,1262,12734,1
100,625,18443,1
111,719,6972,1
139,2461,13243,1
140,65,7156,1
141,1932,9095,1
144,1695,17274,1
194,2412,7233,1
195,56,21964,1
199,1242,2465,1
200,1365,18372,1
202,95,10966,1
205,148,16350,1
212,2094,15247,1
216,1141,9253,1
226,979,9553,1
227,108,21709,1
233,1481,4162,1
243,1983,6913,1
245,2037,8519,1
246,218,5046,1
248,1560,19669,1
250,148,18936,1
257,547,9295,1
281,1454,10760,1
309,1564,6914,1
313,56,9164,1
316,829,8897,1
323,346,8304,1
346,2237,1696,1
347,1861,18357,1
376,514,14881,1
384,1992,1274,1
403,2341,7893,1
414,101,2593,1
425,2365,8618,1
453,2018,5207,1
468,2507,5038,1
484,1927,19026,1
486,769,6362,1
491,2265,18698,1
510,29,6031,1
525,1893,11120,1
526,1508,19514,1
530,1077,11884,1
569,594,20843,1
593,1850,17488,1
610,528,21347,1
615,1334,8618,1
619,2191,16173,1
626,2052,6286,1
636,399,713,1
657,1863,21325,1
659,1528,811,1
699,934,13148,1
700,1208,18170,1
758,64,8391,1
760,688,4783,1
793,1577,13540,1
804,2149,4784,1
811,1217,5249,1
813,2305,10515,1
840,81,17194,1
860,561,18152,1
885,1418,14715,1
897,1145,4787,1
995,2037,21543,1
1013,1338,17543,1
1158,2548,19117,1
1186,693,2611,1
1626,1504,4817,1
1781,1229,5842,1
1836,973,21568,1
1845,684,17573,1
1920,1988,2476,1
1993,1208,16935,1
2222,1145,2867,1
2477,2371,10923,1
2993,660,10273,1
3870,722,12995,1
4059,1776,15489,1
4180,898,7383,1
5415,898,15335,1
5676,598,3626,1
6510,925,21757,1
